Edge1-Edge2	KappaScore
KEGG:05332 (term-term) KEGG:04612	0.8495575221238933
R-HSA:110328 (term-term) KEGG:05203	0.5812807881773403
R-HSA:110329 (term-term) KEGG:05203	0.5812807881773403
R-HSA:110329 (term-term) R-HSA:110328	1.0
R-HSA:110330 (term-term) KEGG:05203	0.5812807881773403
R-HSA:110330 (term-term) R-HSA:110328	1.0
R-HSA:110330 (term-term) R-HSA:110329	1.0
R-HSA:110331 (term-term) KEGG:05203	0.5812807881773403
R-HSA:110331 (term-term) R-HSA:110328	1.0
R-HSA:110331 (term-term) R-HSA:110329	1.0
R-HSA:110331 (term-term) R-HSA:110330	1.0
R-HSA:1214188 (term-term) KEGG:05203	0.5812807881773403
R-HSA:1214188 (term-term) R-HSA:110328	1.0
R-HSA:1214188 (term-term) R-HSA:110329	1.0
R-HSA:1214188 (term-term) R-HSA:110330	1.0
R-HSA:1214188 (term-term) R-HSA:110331	1.0
R-HSA:1221632 (term-term) KEGG:05203	0.4780701754385967
R-HSA:1221632 (term-term) R-HSA:110328	0.7848101265822786
R-HSA:1221632 (term-term) R-HSA:110329	0.7848101265822786
R-HSA:1221632 (term-term) R-HSA:110330	0.7848101265822786
R-HSA:1221632 (term-term) R-HSA:110331	0.7848101265822786
R-HSA:1221632 (term-term) R-HSA:1214188	0.7848101265822786
R-HSA:1474165 (term-term) KEGG:05203	0.4780701754385967
R-HSA:1474165 (term-term) R-HSA:110328	0.7848101265822786
R-HSA:1474165 (term-term) R-HSA:110329	0.7848101265822786
R-HSA:1474165 (term-term) R-HSA:110330	0.7848101265822786
R-HSA:1474165 (term-term) R-HSA:110331	0.7848101265822786
R-HSA:1474165 (term-term) R-HSA:1214188	0.7848101265822786
R-HSA:1474165 (term-term) R-HSA:1221632	1.0
R-HSA:1500620 (term-term) KEGG:05203	0.4780701754385967
R-HSA:1500620 (term-term) R-HSA:110328	0.7848101265822786
R-HSA:1500620 (term-term) R-HSA:110329	0.7848101265822786
R-HSA:1500620 (term-term) R-HSA:110330	0.7848101265822786
R-HSA:1500620 (term-term) R-HSA:110331	0.7848101265822786
R-HSA:1500620 (term-term) R-HSA:1214188	0.7848101265822786
R-HSA:1500620 (term-term) R-HSA:1221632	1.0
R-HSA:1500620 (term-term) R-HSA:1474165	1.0
R-HSA:1500620 (term-term-ontology) R-HSA:1221632	2.0
R-HSA:1500620 (term-term-ontology) R-HSA:1474165	2.0
R-HSA:156902 (term-term) R-HSA:156842	1.0
R-HSA:156902 (term-term-ontology) R-HSA:156842	2.0
R-HSA:156907 (term-term) R-HSA:156842	1.0
R-HSA:156907 (term-term) R-HSA:156902	1.0
R-HSA:156915 (term-term) R-HSA:156842	1.0
R-HSA:156915 (term-term) R-HSA:156902	1.0
R-HSA:156915 (term-term) R-HSA:156907	1.0
R-HSA:156923 (term-term) R-HSA:156842	1.0
R-HSA:156923 (term-term) R-HSA:156902	1.0
R-HSA:156923 (term-term) R-HSA:156907	1.0
