Function	Groups	Group Genes
26S proteasome degrades HIFalpha	Group07	BTRC|DCUN1D2|DCUN1D5|FBXL19|PSMB5
CDC42 binds effectors at the plasma membrane	Group06	ARFGAP3|DOCK8|JUP|RHOJ|WIPF2
Cell-cell junction organization	Group03	CDH7|JUP|PARD3
Cellular senescence	Group00	BTRC|CCND2|FOXM1|HLA-B|HLA-C|LIN52|MCU|PIK3CD
DAP12 interactions	Group08	HLA-B|HLA-C|IGF2R|KIR3DL2|LCK|MME|NFYB
DNA Replication Pre-Initiation	Group12	BTRC|CCND2|CDC23|CDKN2D|CLSPN|H4C2|H4C3|H4C5|H4C8|LIN52|MCM10|MCM7|POLE3|PPP2CA|PSMB5|RHNO1
EPH-Ephrin signaling	Group01	ADAM10|ARPC2|CLTCL1|MYL12B
Eukaryotic Translation Elongation	Group10	EEF1A1|RPL35|RPL41|RPS3A
Exocytosis of ficolin-rich granule lumen proteins	Group04	EEF1A1|JUP|PDAP1|PGM1|PRG2
HJURP:CENPA complex localizes to the centromere	Group13	ADAM10|BTRC|BUB1|CCND2|CDC23|CDKN2D|CLSPN|CTBP1|DNMT1|H4C2|H4C3|H4C5|H4C8|HDAC9|HIRA|HLA-B|HLA-C|ING2|KDM1A|LIN52|MCM10|MCM7|MYL12B|NPM1|NUF2|PIK3CD|POLE3|PPP2CA|PSMB5|RHNO1|RUVBL1|SMC5|SOX6|STAG1|STAG3|THRB|UHRF1|WNT8A
Mitotic G1 phase and G1/S transition	Group09	BUB1|CCND2|CDC23|CDKN2D|LIN52|MCM10|MCM7|POLE3|PPP2CA|PSMB5|STAG1
SUMOylation of transcription cofactors	Group02	CTBP1|ING2|NPM1
TCF dependent signaling in response to WNT	Group11	BTRC|CDC34|CTBP1|H4C2|H4C3|H4C5|H4C8|LCK|LIN52|MCM10|MCM7|POLE3|PPP2CA|PSMB5|RUVBL1|SOX6|WNT8A
Thyroid hormone signaling pathway	Group05	MED12L|PIK3CD|PLCE1|RXRB|THRB
