ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni step down	Group PValue	Group PValue Corrected with Bonferroni step down	Associated Genes Found	All Associated Genes	OverViewTerm
KEGG:04110	KEGG_25.05.2022	Cell cycle	[-1]	[Group09]	6	4.7619047	0.007338602663787342	0.47700917314617725	{Group09=1.9412308781270612E-4}	{Group09=0.0019412308781270613}	[BUB1, CCND2, CDC23, CDKN2D, MCM7, STAG1]	[ABL1, ANAPC1, ANAPC10, ANAPC11, ANAPC13, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, ATM, ATR, BUB1, BUB1B, BUB3, CCNA1, CCNA2, CCNB1, CCNB2, CCNB3, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNH, CDC14A, CDC14B, CDC16, CDC20, CDC23, CDC25A, CDC25B, CDC25C, CDC26, CDC27, CDC45, CDC6, CDC7, CDK1, CDK2, CDK4, CDK6, CDK7, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CHEK1, CHEK2, CREBBP, CUL1, DBF4, E2F1, E2F2, E2F3, E2F4, E2F5, EP300, ESPL1, FZR1, GADD45A, GADD45B, GADD45G, GSK3B, HDAC1, HDAC2, MAD1L1, MAD2L1, MAD2L2, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MDM2, MYC, ORC1, ORC2, ORC3, ORC4, ORC5, ORC6, PCNA, PKMYT1, PLK1, PRKDC, PTTG1, PTTG2, RAD21, RB1, RBL1, RBL2, RBX1, SFN, SKP1, SKP2, SMAD2, SMAD3, SMAD4, SMC1A, SMC1B, SMC3, STAG1, STAG2, TFDP1, TFDP2, TGFB1, TGFB2, TGFB3, TP53, TTK, WEE1, WEE2, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, ZBTB17]	FALSE
KEGG:04218	KEGG_25.05.2022	Cellular senescence	[-1]	[Group00]	8	5.1282053	0.0012792866811795153	0.13176652816149007	{Group00=0.0012792866811795153}	{Group00=0.011513580130615637}	[BTRC, CCND2, FOXM1, HLA-B, HLA-C, LIN52, MCU, PIK3CD]	[AKT1, AKT2, AKT3, ATM, ATR, BTRC, CACNA1D, CALM1, CALM2, CALM3, CALML3, CALML4, CALML5, CALML6, CAPN1, CAPN2, CCNA1, CCNA2, CCNB1, CCNB2, CCNB3, CCND1, CCND2, CCND3, CCNE1, CCNE2, CDC25A, CDK1, CDK2, CDK4, CDK6, CDKN1A, CDKN2A, CDKN2B, CHEK1, CHEK2, CXCL8, E2F1, E2F2, E2F3, E2F4, E2F5, EIF4EBP1, ETS1, FBXW11, FOXM1, FOXO1, FOXO3, GADD45A, GADD45B, GADD45G, GATA4, HIPK1, HIPK2, HIPK3, HIPK4, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, HRAS, HUS1, IGFBP3, IL1A, IL6, ITPR1, ITPR2, ITPR3, KIR2DL4, KRAS, LIN37, LIN52, LIN54, LIN9, MAP2K1, MAP2K2, MAP2K3, MAP2K6, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPKAPK2, MCU, MDM2, MRAS, MRE11, MTOR, MYBL2, MYC, NBN, NFATC1, NFATC2, NFATC3, NFATC4, NFKB1, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PPID, PPP1CA, PPP1CB, PPP1CC, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PTEN, RAD1, RAD50, RAD9A, RAD9B, RAF1, RASSF5, RB1, RBBP4, RBL1, RBL2, RELA, RHEB, RRAS, RRAS2, SERPINE1, SIRT1, SLC25A31, SLC25A4, SLC25A5, SLC25A6, SMAD2, SMAD3, SQSTM1, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, TP53, TRAF3IP2, TRPM7, TRPV4, TSC1, TSC2, VDAC1, VDAC2, VDAC3, ZFP36L1, ZFP36L2]	TRUE
KEGG:04612	KEGG_25.05.2022	Antigen processing and presentation	[-1]	[Group08]	4	5.1282053	0.021398245313039188	0.5563543781390189	{Group08=0.01653358200549781}	{Group08=0.11573507403848465}	[HLA-B, HLA-C, KIR3DL2, NFYB]	[B2M, CALR, CANX, CD4, CD74, CD8A, CD8B, CD8B2, CIITA, CREB1, CTSB, CTSL, CTSS, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, HLA-E, HLA-F, HLA-G, HSP90AA1, HSP90AB1, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA4, HSPA5, HSPA6, HSPA8, IFI30, IFNG, KIR2DL1, KIR2DL2, KIR2DL3, KIR2DL4, KIR2DL5A, KIR2DS1, KIR2DS2, KIR2DS3, KIR2DS4, KIR2DS5, KIR3DL1, KIR3DL2, KIR3DL3, KLRC1, KLRC2, KLRC3, KLRC4, KLRD1, LGMN, NFYA, NFYB, NFYC, PDIA3, PSME1, PSME2, PSME3, RFX5, RFXANK, RFXAP, TAP1, TAP2, TAPBP, TNF]	FALSE
KEGG:04919	KEGG_25.05.2022	Thyroid hormone signaling pathway	[-1]	[Group05]	5	4.132231	0.024372449072365986	0.5361938795920517	{Group05=0.024372449072365986}	{Group05=0.12186224536182994}	[MED12L, PIK3CD, PLCE1, RXRB, THRB]	[ACTB, ACTG1, AKT1, AKT2, AKT3, ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, ATP2A1, ATP2A2, ATP2A3, BAD, BMP4, CASP9, CCND1, CREBBP, CTNNB1, DIO1, DIO2, DIO3, EP300, ESR1, FOXO1, FXYD2, GATA4, GSK3B, HDAC1, HDAC2, HDAC3, HIF1A, HRAS, ITGAV, ITGB3, KAT2A, KAT2B, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MDM2, MED1, MED12, MED12L, MED13, MED13L, MED14, MED16, MED17, MED24, MED27, MED30, MED4, MTOR, MYC, MYH6, MYH7, NCOA1, NCOA2, NCOA3, NCOR1, NOTCH1, NOTCH2, NOTCH3, NOTCH4, NRAS, PDPK1, PFKFB2, PFKL, PFKM, PFKP, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PLCB1, PLCB2, PLCB3, PLCB4, PLCD1, PLCD3, PLCD4, PLCE1, PLCG1, PLCG2, PLCZ1, PLN, PRKACA, PRKACB, PRKACG, PRKCA, PRKCB, PRKCG, RAF1, RCAN1, RCAN2, RHEB, RXRA, RXRB, RXRG, SIN3A, SLC16A10, SLC16A2, SLC2A1, SLC9A1, SLCO1C1, SRC, STAT1, TBC1D4, THRA, THRB, TP53, TSC2, WNT4]	TRUE
KEGG:05203	KEGG_25.05.2022	Viral carcinogenesis	[-1]	[Group13]	9	4.4117646	0.0018458746973846977	0.18089572034370038	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[CCND2, H4C2, H4C3, H4C5, H4C8, HDAC9, HLA-B, HLA-C, PIK3CD]	[ACTN1, ACTN4, ATF2, ATF4, ATF6B, ATP6V0D1, ATP6V0D2, BAD, BAK1, BAX, C3, CASP3, CASP8, CCNA1, CCNA2, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCR3, CCR4, CCR5, CCR8, CDC20, CDC42, CDK1, CDK2, CDK4, CDK6, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CHD4, CHEK1, CREB1, CREB3, CREB3L1, CREB3L2, CREB3L3, CREB3L4, CREB5, CREBBP, DDB1, DDX3X, DLG1, DNAJA3, EGR2, EGR3, EIF2AK2, EP300, GRB2, GSN, GTF2A1, GTF2A1L, GTF2A2, GTF2B, GTF2E1, GTF2E2, GTF2H1, GTF2H2, GTF2H2C, GTF2H2C_2, GTF2H3, GTF2H4, H2BC1, H2BC10, H2BC11, H2BC12, H2BC12L, H2BC13, H2BC14, H2BC15, H2BC17, H2BC18, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BK1, H2BU1, H2BW1, H2BW2, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C7, H4C8, H4C9, HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, HNRNPK, HPN, HRAS, IKBKG, IL6ST, IRF3, IRF7, IRF9, JAK1, JAK3, JUN, KAT2A, KAT2B, KRAS, LOC102724334, LTBR, LYN, MAD1L1, MAPK1, MAPK3, MAPKAPK2, MDM2, MRPS18B, NFKB1, NFKB2, NFKBIA, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PKM, PMAIP1, POLB, PRKACA, PRKACB, PRKACG, PSMC1, PXN, RAC1, RANBP1, RASA2, RB1, RBL1, RBL2, RBPJ, RBPJL, REL, RELA, RHOA, SCIN, SCRIB, SKP2, SND1, SNW1, SP100, SRC, SRF, STAT3, STAT5A, STAT5B, SYK, TBP, TBPL1, TBPL2, TP53, TRADD, TRAF1, TRAF2, TRAF3, TRAF5, UBE3A, UBR4, USP7, VAC14, VDAC3, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ]	FALSE
KEGG:05332	KEGG_25.05.2022	Graft-versus-host disease	[-1]	[Group08]	3	7.142857	0.01908723430992009	0.5535297949876826	{Group08=0.01653358200549781}	{Group08=0.11573507403848465}	[HLA-B, HLA-C, KIR3DL2]	[CD28, CD80, CD86, FAS, FASLG, GZMB, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, HLA-E, HLA-F, HLA-G, IFNG, IL1A, IL1B, IL2, IL6, KIR2DL1, KIR2DL2, KIR2DL3, KIR2DL5A, KIR3DL1, KIR3DL2, KIR3DL3, KLRC1, KLRD1, PRF1, TNF]	FALSE
R-HSA:110328	REACTOME_Pathways_25.05.2022	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	[-1]	[Group13]	4	6.557377	0.009335141694197897	0.5134327931808843	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8]	[ACD, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-4, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, LOC102724334, MBD4, NEIL1, NEIL2, NEIL3, NTHL1, OGG1, POT1, SMUG1, TDG, TERF1, TERF2, TERF2IP, TINF2, UNG]	FALSE
R-HSA:110329	REACTOME_Pathways_25.05.2022	Cleavage of the damaged pyrimidine 	[-1]	[Group13]	4	6.557377	0.009335141694197897	0.5134327931808843	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8]	[ACD, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-4, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, LOC102724334, MBD4, NEIL1, NEIL2, NEIL3, NTHL1, OGG1, POT1, SMUG1, TDG, TERF1, TERF2, TERF2IP, TINF2, UNG]	FALSE
R-HSA:110330	REACTOME_Pathways_25.05.2022	Recognition and association of DNA glycosylase with site containing an affected purine	[-1]	[Group13]	4	7.142857	0.006921150319693578	0.4567959210997762	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8]	[ACD, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-4, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, LOC102724334, MPG, MUTYH, NEIL3, OGG1, POT1, TERF1, TERF2, TERF2IP, TINF2]	FALSE
R-HSA:110331	REACTOME_Pathways_25.05.2022	Cleavage of the damaged purine	[-1]	[Group13]	4	7.142857	0.006921150319693578	0.4567959210997762	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8]	[ACD, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-4, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, LOC102724334, MPG, MUTYH, NEIL3, OGG1, POT1, TERF1, TERF2, TERF2IP, TINF2]	FALSE
