Edge1-Edge2	KappaScore
GO:0006334 (term-term) GO:0000786	0.6744186046511629
GO:0006335 (term-term) GO:0000775	0.4787234042553189
GO:0006335 (term-term) GO:0000786	0.7812499999999999
GO:0006335 (term-term) GO:0006334	0.6315789473684208
GO:0006336 (term-term) GO:0000775	0.4300254452926206
GO:0006336 (term-term) GO:0000786	0.6978417266187047
GO:0006336 (term-term) GO:0006334	0.5679012345679011
GO:0006336 (term-term) GO:0006335	0.8793103448275859
GO:0007062 (term-term) GO:0000775	0.4787234042553189
GO:0031065 (term-term) GO:0031058	0.7320574162679427
GO:0031065 (term-term-ontology) GO:0031058	2.0
GO:0031497 (term-term) GO:0000786	0.4449339207048459
GO:0031497 (term-term) GO:0006334	0.7107438016528927
GO:0031497 (term-term) GO:0006335	0.4056603773584904
GO:0031497 (term-term) GO:0006336	0.4897494305239181
GO:0031497 (term-term-ontology) GO:0006334	2.0
GO:0031497 (term-term-ontology) GO:0006335	2.0
GO:0031497 (term-term-ontology) GO:0006336	2.0
GO:0031507 (term-term) GO:0031058	0.5607843137254906
GO:0031507 (term-term) GO:0031497	0.4897494305239181
GO:0031507 (term-term-ontology) GO:0031497	2.0
GO:0031624 (term-term) GO:0031398	0.40170940170940134
GO:0034502 (term-term) GO:0000775	0.6585365853658536
GO:0034502 (term-term) GO:0000786	0.6266666666666663
GO:0034502 (term-term) GO:0006334	0.5116279069767443
GO:0034502 (term-term) GO:0006335	0.7812499999999999
GO:0034502 (term-term) GO:0006336	0.6978417266187047
GO:0034728 (term-term) GO:0000786	0.7113402061855668
GO:0034728 (term-term) GO:0006334	0.8679245283018865
GO:0034728 (term-term) GO:0006335	0.5227272727272727
GO:0034728 (term-term) GO:0006336	0.47027027027026996
GO:0034728 (term-term) GO:0031497	0.6186770428015566
GO:0034728 (term-term) GO:0034502	0.42268041237113413
GO:0034728 (term-term-ontology) GO:0006334	2.0
GO:0038084 (term-term) GO:0010595	0.7320574162679427
GO:0042771 (term-term) GO:0008630	0.7320574162679427
GO:0042771 (term-term) GO:0031058	0.46411483253588454
GO:0042771 (term-term-ontology) GO:0008630	2.0
GO:0043505 (term-term) GO:0000775	0.4787234042553189
GO:0043505 (term-term) GO:0000786	0.7812499999999999
GO:0043505 (term-term) GO:0006334	0.6315789473684208
GO:0043505 (term-term) GO:0006335	1.0
GO:0043505 (term-term) GO:0006336	0.8793103448275859
GO:0043505 (term-term) GO:0031497	0.4056603773584904
GO:0043505 (term-term) GO:0034502	0.7812499999999999
GO:0043505 (term-term) GO:0034728	0.5227272727272727
GO:0043505 (term-term-ontology) GO:0000786	2.0
GO:0043535 (term-term) GO:0010595	0.5607843137254906
GO:0043536 (term-term) GO:0010595	0.7320574162679427
GO:0043536 (term-term) GO:0043535	0.7320574162679427
GO:0043536 (term-term-ontology) GO:0010595	2.0
GO:0043536 (term-term-ontology) GO:0043535	2.0
GO:0045638 (term-term) GO:0000775	0.4300254452926206
GO:0045638 (term-term) GO:0000786	0.6978417266187047
GO:0045638 (term-term) GO:0006334	0.5679012345679011
GO:0045638 (term-term) GO:0006335	0.8793103448275859
GO:0045638 (term-term) GO:0006336	0.780392156862745
GO:0045638 (term-term) GO:0034502	0.6978417266187047
GO:0045638 (term-term) GO:0034728	0.47027027027026996
GO:0045638 (term-term) GO:0043505	0.8793103448275859
GO:0045737 (term-term) GO:0000079	0.7320574162679427
GO:0045737 (term-term-ontology) GO:0000079	2.0
GO:0051219 (term-term) GO:0045309	0.6410256410256411
GO:0051219 (term-term-ontology) GO:0045309	2.0
GO:0051443 (term-term) GO:0031398	0.6410256410256411
GO:0051443 (term-term) GO:0031624	0.6477987421383643
GO:0051443 (term-term-ontology) GO:0031398	2.0
GO:0090311 (term-term) GO:0031058	0.6379310344827589
GO:0090311 (term-term) GO:0031065	0.8478260869565221
GO:1902230 (term-term) GO:0008630	0.8793103448275859
GO:1902230 (term-term) GO:0042771	0.8478260869565221
GO:1902230 (term-term-ontology) GO:0008630	2.0
GO:2001242 (term-term) GO:0008630	0.5679012345679011
GO:2001242 (term-term) GO:0042771	0.5070422535211266
GO:2001242 (term-term) GO:1902230	0.6315789473684208
