NAME	regulation of cyclin-dependent protein serine/threonine kinase activity	chromosome, centromeric region	nucleosome	protein kinase inhibitor activity	nucleosome assembly	DNA replication-dependent chromatin assembly	DNA replication-independent chromatin assembly	membrane protein ectodomain proteolysis	sister chromatid cohesion	intrinsic apoptotic signaling pathway in response to DNA damage	positive regulation of endothelial cell migration	positive regulation of histone modification	positive regulation of histone deacetylation	positive regulation of protein ubiquitination	chromatin assembly	heterochromatin assembly	ubiquitin conjugating enzyme binding	protein localization to chromosome	nucleosome organization	vascular endothelial growth factor signaling pathway	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	CENP-A containing nucleosome	regulation of blood vessel endothelial cell migration	positive regulation of blood vessel endothelial cell migration	establishment or maintenance of epithelial cell apical/basal polarity	protein phosphorylated amino acid binding	negative regulation of myeloid cell differentiation	positive regulation of cyclin-dependent protein serine/threonine kinase activity	phosphoprotein binding	positive regulation of ubiquitin-protein transferase activity	cellular response to acid chemical	integral component of lumenal side of endoplasmic reticulum membrane	regulation of protein deacetylation	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	regulation of intrinsic apoptotic signaling pathway
regulation of cyclin-dependent protein serine/threonine kinase activity	1.0	-0.13994910941475835	-0.1079136690647488	0.15517241379310406	-0.12345679012345727	-0.08620689655172405	-0.098039215686274	-0.07177033492823	-0.08620689655172405	0.12156862745098135	0.12156862745098135	0.12156862745098135	0.1961722488038281	-0.1079136690647488	-0.14806378132118458	-0.098039215686274	-0.07177033492823	-0.1079136690647488	-0.13513513513513548	0.1961722488038281	-0.07177033492823	-0.08620689655172405	0.12156862745098135	0.1961722488038281	-0.08620689655172405	-0.07177033492823	-0.098039215686274	0.7320574162679427	0.09352517985611514	-0.07177033492823	0.15517241379310406	0.1961722488038281	0.15517241379310406	0.15517241379310406	0.04938271604938329
chromosome, centromeric region	-0.13994910941475835	1.0	0.38536585365853654	-0.11702127659574442	0.30630630630630634	0.4787234042553189	0.4300254452926206	-0.09192200557103111	0.4787234042553189	-0.13994910941475835	-0.13994910941475835	0.0025445292620868204	-0.09192200557103111	-0.16097560975609695	0.2589792060491496	0.0025445292620868204	-0.09192200557103111	0.6585365853658536	0.23849372384937237	-0.09192200557103111	-0.09192200557103111	0.4787234042553189	-0.13994910941475835	-0.09192200557103111	-0.11702127659574442	-0.09192200557103111	0.4300254452926206	-0.09192200557103111	-0.16097560975609695	-0.09192200557103111	0.03191489361702098	-0.09192200557103111	-0.11702127659574442	-0.11702127659574442	-0.19819819819819823
nucleosome	-0.1079136690647488	0.38536585365853654	1.0	-0.09374999999999972	0.6744186046511629	0.7812499999999999	0.6978417266187047	-0.07692307692307733	-0.09374999999999972	-0.1079136690647488	-0.1079136690647488	-0.1079136690647488	-0.07692307692307733	-0.11999999999999998	0.4449339207048459	-0.1079136690647488	-0.07692307692307733	0.6266666666666663	0.7113402061855668	-0.07692307692307733	-0.07692307692307733	0.7812499999999999	-0.1079136690647488	-0.07692307692307733	-0.09374999999999972	-0.07692307692307733	0.6978417266187047	-0.07692307692307733	-0.11999999999999998	-0.07692307692307733	-0.09374999999999972	-0.07692307692307733	-0.09374999999999972	-0.09374999999999972	-0.13953488372092926
protein kinase inhibitor activity	0.15517241379310406	-0.11702127659574442	-0.09374999999999972	1.0	0.07894736842105247	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	0.15517241379310406	-0.08620689655172405	-0.08620689655172405	-0.06521739130434816	0.12499999999999957	0.009433962264150855	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	0.045454545454545525	-0.06521739130434816	-0.06521739130434816	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.07692307692307608	0.19230769230769287	0.07894736842105247
nucleosome assembly	-0.12345679012345727	0.30630630630630634	0.6744186046511629	0.07894736842105247	1.0	0.6315789473684208	0.5679012345679011	-0.08450704225352157	-0.10526315789473696	-0.12345679012345727	-0.12345679012345727	-0.12345679012345727	-0.08450704225352157	0.023255813953488656	0.7107438016528927	0.04938271604938329	-0.08450704225352157	0.5116279069767443	0.8679245283018865	-0.08450704225352157	-0.08450704225352157	0.6315789473684208	-0.12345679012345727	-0.08450704225352157	-0.10526315789473696	-0.08450704225352157	0.5679012345679011	-0.08450704225352157	-0.13953488372092926	-0.08450704225352157	-0.10526315789473696	-0.08450704225352157	-0.10526315789473696	-0.10526315789473696	-0.16666666666666743
DNA replication-dependent chromatin assembly	-0.08620689655172405	0.4787234042553189	0.7812499999999999	-0.07692307692307608	0.6315789473684208	1.0	0.8793103448275859	-0.06521739130434816	-0.07692307692307608	-0.08620689655172405	-0.08620689655172405	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	0.4056603773584904	-0.08620689655172405	-0.06521739130434816	0.7812499999999999	0.5227272727272727	-0.06521739130434816	-0.06521739130434816	1.0	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	0.8793103448275859	-0.06521739130434816	-0.09374999999999972	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.07692307692307608	-0.07692307692307608	-0.10526315789473696
DNA replication-independent chromatin assembly	-0.098039215686274	0.4300254452926206	0.6978417266187047	-0.08620689655172405	0.5679012345679011	0.8793103448275859	1.0	-0.07177033492823	-0.08620689655172405	-0.098039215686274	-0.098039215686274	-0.098039215686274	-0.07177033492823	-0.1079136690647488	0.4897494305239181	-0.098039215686274	-0.07177033492823	0.6978417266187047	0.47027027027026996	-0.07177033492823	-0.07177033492823	0.8793103448275859	-0.098039215686274	-0.07177033492823	-0.08620689655172405	-0.07177033492823	0.780392156862745	-0.07177033492823	-0.1079136690647488	-0.07177033492823	-0.08620689655172405	-0.07177033492823	-0.08620689655172405	-0.08620689655172405	-0.12345679012345727
membrane protein ectodomain proteolysis	-0.07177033492823	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	1.0	-0.06521739130434816	0.1961722488038281	-0.07177033492823	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.0953545232273839	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	-0.056603773584907126	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	0.2955974842767301	-0.07177033492823	-0.056603773584907126	0.16239316239316262	-0.056603773584907126	-0.06521739130434816	-0.056603773584907126	-0.06521739130434816	-0.06521739130434816	-0.08450704225352157
sister chromatid cohesion	-0.08620689655172405	0.4787234042553189	-0.09374999999999972	-0.07692307692307608	-0.10526315789473696	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	1.0	-0.08620689655172405	-0.08620689655172405	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	-0.12264150943396229	-0.08620689655172405	-0.06521739130434816	0.3437499999999999	-0.11363636363636351	-0.06521739130434816	-0.06521739130434816	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.07692307692307608	-0.07692307692307608	-0.10526315789473696
intrinsic apoptotic signaling pathway in response to DNA damage	0.12156862745098135	-0.13994910941475835	-0.1079136690647488	0.15517241379310406	-0.12345679012345727	-0.08620689655172405	-0.098039215686274	0.1961722488038281	-0.08620689655172405	1.0	-0.098039215686274	0.3411764705882353	0.1961722488038281	0.09352517985611514	-0.020501138952163704	0.12156862745098135	-0.07177033492823	-0.1079136690647488	-0.13513513513513548	-0.07177033492823	0.7320574162679427	-0.08620689655172405	-0.098039215686274	-0.07177033492823	-0.08620689655172405	-0.07177033492823	-0.098039215686274	-0.07177033492823	-0.1079136690647488	-0.07177033492823	-0.08620689655172405	-0.07177033492823	0.15517241379310406	0.8793103448275859	0.5679012345679011
positive regulation of endothelial cell migration	0.12156862745098135	-0.13994910941475835	-0.1079136690647488	-0.08620689655172405	-0.12345679012345727	-0.08620689655172405	-0.098039215686274	-0.07177033492823	-0.08620689655172405	-0.098039215686274	1.0	0.12156862745098135	0.1961722488038281	-0.1079136690647488	-0.14806378132118458	-0.098039215686274	-0.07177033492823	-0.1079136690647488	-0.13513513513513548	0.7320574162679427	-0.07177033492823	-0.08620689655172405	0.5607843137254906	0.7320574162679427	-0.08620689655172405	-0.07177033492823	-0.098039215686274	0.1961722488038281	0.09352517985611514	-0.07177033492823	0.15517241379310406	0.1961722488038281	0.15517241379310406	-0.08620689655172405	-0.12345679012345727
positive regulation of histone modification	0.12156862745098135	0.0025445292620868204	-0.1079136690647488	-0.08620689655172405	-0.12345679012345727	-0.08620689655172405	-0.098039215686274	-0.07177033492823	-0.08620689655172405	0.3411764705882353	0.12156862745098135	1.0	0.7320574162679427	0.09352517985611514	0.23462414578587712	0.5607843137254906	-0.07177033492823	-0.1079136690647488	-0.13513513513513548	0.1961722488038281	0.46411483253588454	-0.08620689655172405	0.12156862745098135	0.1961722488038281	-0.08620689655172405	-0.07177033492823	-0.098039215686274	0.1961722488038281	0.09352517985611514	-0.07177033492823	0.39655172413793094	0.1961722488038281	0.6379310344827589	0.39655172413793094	0.2222222222222222
positive regulation of histone deacetylation	0.1961722488038281	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	0.1961722488038281	0.1961722488038281	0.7320574162679427	1.0	-0.07692307692307733	0.04156479217603944	0.1961722488038281	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	0.2955974842767301	0.2955974842767301	-0.06521739130434816	0.1961722488038281	0.2955974842767301	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	0.2955974842767301	0.16239316239316262	-0.056603773584907126	0.23913043478260856	0.2955974842767301	0.8478260869565221	0.23913043478260856	0.1126760563380283
positive regulation of protein ubiquitination	-0.1079136690647488	-0.16097560975609695	-0.11999999999999998	0.12499999999999957	0.023255813953488656	-0.09374999999999972	-0.1079136690647488	-0.07692307692307733	-0.09374999999999972	0.09352517985611514	-0.1079136690647488	0.09352517985611514	-0.07692307692307733	1.0	0.07488986784140989	0.09352517985611514	0.40170940170940134	-0.11999999999999998	-0.010309278350514909	-0.07692307692307733	0.16239316239316262	-0.09374999999999972	-0.1079136690647488	-0.07692307692307733	-0.09374999999999972	0.16239316239316262	-0.1079136690647488	-0.07692307692307733	0.06666666666666662	0.6410256410256411	-0.09374999999999972	-0.07692307692307733	-0.09374999999999972	0.12499999999999957	0.023255813953488656
