ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni step down	Group PValue	Group PValue Corrected with Bonferroni step down	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0000079	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	regulation of cyclin-dependent protein serine/threonine kinase activity	[5, 6, 7, 8, 9, 10, 11]	[Group05]	5	4.132231	0.01212064683561638	0.08484452784931466	{Group05=0.01212064683561638}	{Group05=0.03636194050684914}	[CCND2, CCNL1, CDKN2D, PRKD2, SPDYE14]	[ACTB, ADAM17, AKT1, APC, BCCIP, BLM, CASP3, CCNA1, CCNA2, CCNB1, CCNB2, CCNB3, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNF, CCNG1, CCNG2, CCNH, CCNI, CCNI2, CCNJ, CCNJL, CCNK, CCNL1, CCNO, CCNP, CCNT1, CCNT2, CCNY, CCNYL1, CCNYL2, CCNYL3, CDC25A, CDC25C, CDC37, CDC6, CDK5R1, CDK5R2, CDK5RAP1, CDK5RAP2, CDK5RAP3, CDK7, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CDKN3, CEBPA, CKS1B, CKS2, CNPPD1, CTRCT27, DIRAS3, EGFR, FBXO7, GADD45A, GTF2H1, GTPBP4, HERC5, HEXIM1, HEXIM2, HHEX, INCA1, IPO5, IPO7, KAT2B, LATS1, LATS2, MAPRE3, MCM2, MEN1, MNAT1, MYOCD, NR2F2, PDGFB, PKD1, PKD2, PKMYT1, PLK1, POTEF, PRKD2, PROC, PROX1, PSMD10, PSRC1, PTEN, REXO2, RGCC, SERTAD1, SFN, SPDYA, SPDYC, SPDYE1, SPDYE10, SPDYE11, SPDYE12, SPDYE13, SPDYE14, SPDYE15, SPDYE16, SPDYE17, SPDYE2, SPDYE21, SPDYE2B, SPDYE3, SPDYE4, SPDYE5, SPDYE6, SPDYE7P, SPDYE8, SPDYE9, SRC, TFAP4, TNFAIP3, WEE2]	FALSE
GO:0000775	GO_CellularComponent-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	chromosome, centromeric region	[3, 7]	[Group12]	11	4.1666665	2.160976933263808E-4	0.006266833106465043	{Group12=1.2929100297389888E-5}	{Group12=1.5514920356867867E-4}	[BUB1, DNMT1, H4C2, H4C3, H4C5, H4C8, NUF2, PPP2CA, SMC5, STAG1, STAG3]	[2477, ACTB, ACTL6A, ACTL6B, AHCTF1, ANAPC16, APC, ARID2, ATRX, AURKB, AURKC, BAZ1A, BAZ1B, BIRC5, BOD1, BOD1L1, BOD1L2, BRD7, BUB1, BUB1B, BUB3, CBX1, CBX3, CBX5, CCNB1, CDCA5, CDCA8, CDT1, CEBPB, CENPA, CENPB, CENPC, CENPCP1, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPM, CENPN, CENPO, CENPP, CENPQ, CENPS, CENPS-CORT, CENPT, CENPU, CENPV, CENPW, CENPX, CFDP1, CHAMP1, CHMP1A, CHMP1B, CHMP2A, CHMP2B, CHMP3, CHMP4A, CHMP4B, CHMP4BP1, CHMP4C, CHMP5, CHMP6, CHMP7, CHRAC1, CKAP5, CLASP1, CLASP2, CLIP1, CSNK1A1, CTCF, DAXX, DCTN1, DCTN2, DCTN3, DCTN4, DCTN5, DCTN6, DNMT1, DNMT3A, DSCC1, DSN1, DYNC1I1, DYNC1LI1, DYNC1LI2, DYNLL1, DYNLT3, ERCC6L, ESCO2, EZH2, FBXO28, FBXW11, FMR1, FMR1-IT1, FRAXA, GPATCH11, H2AC4, H2AC8, H2BC11, H3-3A, H3-3B, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HELLS, HJURP, HNRNPU, HSF1, IKZF1, INCENP, ITGB3BP, KANSL1, KAT2B, KAT5, KAT7, KAT8, KDM4A, KDM4B, KDM4C, KDM4D, KIF18A, KIF22, KIF2B, KIF2C, KMT5B, KMT5C, KNL1, KNSTRN, KNTC1, LRWD1, MACROH2A1, MAD1L1, MAD2L1, MEAF6, MEIKIN, MIS12, MIS18A, MIS18BP1, MTBP, NCAPD2, NCAPD3, NCAPG, NDC80, NDE1, NDEL1, NEK2, NGDN, NSL1, NUDCD2, NUF2, NUP107, NUP133, NUP160, NUP37, NUP43, NUP85, NUP98, OIP5, ORC2, PAFAH1B1, PBRM1, PDS5A, PDS5B, PHF1, PHF10, PHF2, PHF6, PINX1, PKHD1, PLK1, PMEPA1, PMF1, PMF1-BGLAP, POTEF, PPP1CC, PPP1R12A, PPP2CA, PPP2CB, PPP2R1A, PPP2R5A, PPP2R5C, PROC, PSEN1, PSEN2, RAD21, RANGAP1, RASSF2, RCC2, REC8, RNF103-CHMP3, SEC13, SEH1L, SEPTIN2, SEPTIN6, SEPTIN7, SGO1, SGO2, SIN3A, SIRT6, SKA1, SKA2, SKA3, SLC25A2, SMARCA4, SMARCA5, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCE1, SMC1A, SMC1B, SMC3, SMC4, SMC5, SMC6, SNAI1, SPAG5, SPC24, SPC25, SPDL1, SPOUT1, SS18L1, STAG1, STAG2, STAG3, SUGT1, SUMO2, SUMO3, SUV39H1, SUV39H2, SYCP1, SYCP2L, SYCP3, TEX14, TOP2A, TP53BP1, TPR, TRAPPC12, TTK, UHRF2, UVRAG, WAPL, XPO1, ZNF207, ZNF276, ZNF330, ZNF618, ZW10, ZWILCH, ZWINT]	FALSE
GO:0000786	GO_CellularComponent-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	nucleosome	[3, 7]	[Group12]	6	4.379562	0.004672544758903248	0.08877835041916171	{Group12=1.2929100297389888E-5}	{Group12=1.5514920356867867E-4}	[H1-10, H4C2, H4C3, H4C5, H4C8, RUVBL1]	[ACTB, ACTL6A, ACTR6, BRD8, CENPA, DMAP1, EP400, EPC1, EPC2, GLYR1, H1-0, H1-1, H1-10, H1-2, H1-3, H1-4, H1-5, H1-6, H1-8, H1-9P, H2AB1, H2AB2, H2AB3, H2AC1, H2AC11, H2AC12, H2AC13, H2AC14, H2AC15, H2AC16, H2AC17, H2AC18, H2AC19, H2AC20, H2AC21, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AL3, H2AP, H2AW, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC12L, H2BC13, H2BC14, H2BC15, H2BC17, H2BC18, H2BC19P, H2BC20P, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BK1, H2BU1, H2BW1, H2BW2, H3-3A, H3-3B, H3-4, H3-5, H3-7, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H3Y1, H3Y2, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C7, H4C8, H4C9, HP1BP3, ING3, IRF4, KAT5, KAT6A, KAT6B, KDM1B, MACROH2A1, MACROH2A2, MBTD1, MEAF6, MORF4L1, MORF4L2, MPHOSPH8, MRGBP, POTEF, PRM1, PRM2, PRM3, PXDNL, RUVBL1, RUVBL2, SHPRH, SLF1, SPHK2, SRCAP, TNP1, TNP2, TRRAP, VPS72, YEATS4, ZNHIT1]	FALSE
GO:0004860	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	protein kinase inhibitor activity	[7]	[Group04]	4	5.4054055	0.009829612691025683	0.09829612691025683	{Group04=0.009829612691025683}	{Group04=0.03931845076410273}	[CDKN2D, GSKIP, NPM1, PRKAR2A]	[CAMK2N1, CAMK2N2, CASP3, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CEP43, CHORDC1, CHP1, CIB1, CIT, DHDDS, DNAJC3, DUS2, DUSP19, GMFB, GMFG, GSKIP, HEXIM1, HEXIM2, HSPB1, HYAL2, IBTK, INCA1, INKA1, INKA2, ITPRIP, KAT2B, LILRB4, MACROH2A1, MAPK8IP1, MBIP, NCAPG2, NCK1, NPM1, PARVA, PKIA, PKIB, PKIG, PPP1R1B, PRKAG2, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCH, PRKRIP1, QARS1, RACK1, REXO2, RPTOR, SFN, SH3BP5, SH3BP5L, SMCR8, SNCA, SOCS1, SOCS3, SPRED1, SPRED2, SPRY2, SPRY4, TAOK3, TESC, TRIB1, TRIB2, TRIB3, WNK1, YWHAB, YWHAG]	TRUE
GO:0006334	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	nucleosome assembly	[6, 7, 8, 9]	[Group12]	8	6.1538463	1.162081942233581E-4	0.003486245826700743	{Group12=1.2929100297389888E-5}	{Group12=1.5514920356867867E-4}	[H1-10, H4C2, H4C3, H4C5, H4C8, MCM7, NPM1, POLE3]	[ANP32B, ASF1A, ASF1B, ATRX, BAZ1A, BRD2, CENPP, CENPW, CHAF1A, CHAF1B, CHRAC1, DAXX, DNAJC9, GRWD1, H1-0, H1-1, H1-10, H1-2, H1-3, H1-4, H1-5, H1-6, H1-8, H1-9P, H2AB1, H2AB2, H2AB3, H2AX, H2BC1, H2BC10, H2BC11, H2BC12, H2BC12L, H2BC13, H2BC14, H2BC15, H2BC17, H2BC18, H2BC19P, H2BC20P, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BK1, H2BU1, H2BW1, H2BW2, H3-3A, H3-3B, H3-4, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C7, H4C8, H4C9, HJURP, HMGB2, HP1BP3, ITGB3BP, KAT6A, KAT6B, MACROH2A1, MACROH2A2, MCM2, MCM7, MIS18A, NAA60, NAP1L1, NAP1L2, NAP1L3, NAP1L4, NAP1L5, NAP1L6P, NASP, NPM1, OIP5, PADI4, POLE3, RSF1, SART3, SET, SETSIP, SHPRH, SMARCA5, SMYD3, SOX9, SPTY2D1, SSRP1, SUPT16H, TSPY1, TSPY10, TSPY2, TSPY26P, TSPY3, TSPY4, TSPY8, TSPY9, TSPYL1, TSPYL2, TSPYL4, TSPYL5, TSPYL6]	FALSE
GO:0006335	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	DNA replication-dependent chromatin assembly	[6, 8]	[Group12]	4	12.5	4.4381583393354073E-4	0.01242684335013914	{Group12=1.2929100297389888E-5}	{Group12=1.5514920356867867E-4}	[H4C2, H4C3, H4C5, H4C8]	[ASF1A, ASF1B, CHAF1A, CHAF1B, H3C1, H3C10, H3C11, H3C12, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HAT1, IPO4, NASP, RBBP4]	FALSE
GO:0006336	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	DNA replication-independent chromatin assembly	[6, 8]	[Group12]	5	15.151515	3.21764292705576E-5	0.0010296457366578433	{Group12=1.2929100297389888E-5}	{Group12=1.5514920356867867E-4}	[H4C2, H4C3, H4C5, H4C8, HIRA]	[ASF1A, ASF1B, ATRX, CABIN1, CENPP, CENPW, H3-3A, H3-3B, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HAT1, HIRA, HJURP, IPO4, ITGB3BP, MIS18A, NASP, OIP5, RBBP4, UBN1, UBN2]	FALSE
GO:0006509	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	membrane protein ectodomain proteolysis	[6, 7]	[Group02]	3	6.382979	0.015987753295709294	0.07993876647854647	{Group02=0.015987753295709294}	{Group02=0.015987753295709294}	[ADAM10, PTPN3, TNFRSF1B]	[ADAM10, ADAM17, ADAM19, ADAM8, ADAM9, ADRA2A, APH1A, APOE, BACE1, BACE2, DAG1, ERAP1, FURIN, GPLD1, HM13, IFNG, IL10, IL1B, LRIG2, MMP7, MYH9, NCSTN, NRDC, P2RX7, PACSIN3, PRKCQ, PRTN3, PSEN1, PSEN2, PSENEN, PTPN3, RBMX, RGMA, ROCK1, SH3D19, SNX33, SNX9, SPPL2A, SPPL2B, SPPL2C, SPPL3, TIMP1, TIMP2, TIMP3, TIMP4, TNF, TNFRSF1B]	TRUE
GO:0007062	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	sister chromatid cohesion	[3, 4, 5, 6, 7]	[Group12]	4	5.970149	0.006959131097745235	0.08350957317294282	{Group12=1.2929100297389888E-5}	{Group12=1.5514920356867867E-4}	[BUB1, SMC5, STAG1, STAG3]	[ATRX, AXIN2, BOD1, BUB1, BUB1B, CDC20, CDCA5, CHTF8, CTCF, CTNNB1, DDX11, DDX11L8, DDX12P, DERPC, DSCC1, ESCO1, ESCO2, ESPL1, FBXW7, FEN1, HASPIN, HDAC8, HORMAD1, HORMAD2, KIF22, LOC654780, MACROH2A1, MAU2, MCMBP, MEIKIN, MRE11, NAA10, NAA50, NIPBL, NPC1, NSMCE2, PDS5A, PDS5B, PHB2, PLK1, PMEPA1, POGZ, PPP2R1A, RAD21, RAD21L1, RAD51C, RB1, REC8, SFPQ, SGO1, SGO2, SLF1, SLF2, SMC1A, SMC1B, SMC3, SMC5, STAG1, STAG2, STAG3, STAG3L1, STAG3L2, STAG3L3, STAG3L4, TENT4A, TNKS, WAPL]	FALSE
GO:0008630	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	intrinsic apoptotic signaling pathway in response to DNA damage	[5, 6, 7]	[Group11]	5	4.424779	0.009195661916579511	0.10115228108237462	{Group11=4.977311659169233E-4}	{Group11=0.005475042825086156}	[ATAD5, CDKN2D, ING2, KDM1A, TNFRSF1B]	[ABL1, ACKR3, AEN, AMH, ATAD5, ATM, BAD, BAG6, BAK1, BAX, BBC3, BCL2, BCL2A1, BCL2L1, BCL2L10, BCL2L11, BCL2L12, BCL2L2, BCL3, BID, BOK, BRCA1, BRCA2, CASP2, CASP9, CCAR2, CD44, CD74, CDIP1, CDKN1A, CDKN2D, CHEK2, CIDEB, CLU, CNRIP1, CRIP1, CXCL12, DDIAS, DDIT4, DYRK2, E2F1, ELL3, EP300, EPHA2, ERCC6, FBH1, FNIP2, HIC1, HIPK1, HIPK2, HMOX1, HNRNPK, HTRA2, IFI16, IKBKE, ING2, ING3, INGX, KDM1A, MAEL, MARCHF7, MCL1, MIF, MLH1, MOAP1, MSH2, MSH6, MUC1, NACC2, NFATC4, NUPR1, PHLDA3, PIAS4, PIK3R1, PML, POLB, POLG2, PRKDC, PYCARD, RAD9A, REXO2, RPL26, RPS27L, RPS3, S100A8, S100A9, SFN, SFRP2, SHISA5, SIRT1, SKIL, SNAI1, SNAI2, SNW1, SOD2, SOD2-OT1, TAF9, TAF9B, TMEM109, TMEM161A, TNF, TNFRSF1A, TNFRSF1B, TOPORS, TP53, TP63, TP73, TPT1, TRIAP1, TRIM32, USP28, USP47, ZNF385A]	FALSE
