Gene ID	HD1	HD2	HD3	HD4	HD5	HD6	1442 ETV6	1874 ETV6	3399 Phlike	3701 ETV6	4353 phlike	4370 ETV6	4395 ETV6	4894 Phlike	BALL10 ETV6
LOC124904086	-0.62304582	-0.590002219	-0.484686319	-0.481688221	-0.694323594	-0.778102388	-0.321431623	0.807679073	-0.694491411	1.26095718	2.143053715	-0.587952286	0.084917029	-0.83871934	1.797836223
DUX4	-0.752435881	-0.716655775	-0.083234842	-0.920015996	-0.457924916	-1.087697993	1.49788412	-0.900118154	1.164808391	0.57952238	0.145511633	-0.714418966	2.014402767	-0.694655438	0.925028668
LOC100533997	-0.238283578	-0.653181403	0.014829602	-0.864661992	-0.766049843	-1.065540022	-0.352328419	-0.842942495	2.101241036	0.879647999	0.11399791	2.136181205	-0.462079334	0.340936125	-0.34176679
LOC107987393	-0.75094808	-0.715145554	-0.583413459	-0.915662211	-0.825439883	-1.077224217	2.106588305	0.984959293	1.748458948	-0.199595648	0.060555456	1.03785682	-0.47657163	-0.114901873	-0.279516267
GHITM	-0.778937653	-0.74066098	-0.617537483	-0.96636018	-0.860997686	-0.191433253	0.117249375	0.695002762	1.840255969	-0.803665572	-0.851797553	2.214237873	0.72176374	0.266558572	-0.043677931
NEPRO	-0.86851263	-0.82733512	-0.693758945	-0.727007201	-0.557757535	-0.666967258	1.632870284	2.413443803	-0.956369141	0.028677785	0.219527576	0.609248019	-0.624295199	0.333817832	0.684417729
NME5	-0.779421964	-0.741074574	0.021394989	-0.962029523	-0.860567737	-0.610373122	-0.407359431	0.23111184	1.881865396	-0.309756507	-0.851552071	-0.196490221	0.560210849	0.706571622	2.317470456
PIK3IP1	-0.318463475	-0.722686517	-0.598942045	-0.376955219	-0.843916255	-0.54154239	-0.422357199	0.581383642	2.18839014	-0.786142679	-0.834644704	2.130840868	0.655776663	0.314265864	-0.425006692
BTG1	-0.345817496	-0.285769923	-0.61610892	-0.964239989	-0.472634177	-0.803408089	0.806705064	-0.941283725	2.097687712	0.379536607	0.766174792	1.927442745	0.019687765	-0.72192282	-0.846049547
PSMB5	-0.746776957	-0.711196985	-0.555703997	-0.908579154	-0.820392798	-0.802771592	-0.282201104	2.386194755	-0.820560713	0.614628766	0.182208241	1.278437767	1.396882562	-0.007378588	-0.202790203
LOC643327	-0.746367542	-0.121163454	-0.586527976	-0.922670624	-0.825013838	-0.682420813	0.403921445	2.307687163	-0.825195891	-0.23440881	1.048044022	0.254734378	1.743466958	-0.002212719	-0.8118723
SNHG5	-0.832192958	-0.796566902	-0.669231906	-0.989298006	-0.904697729	-0.895409196	-0.385862287	0.304187316	1.201358838	1.944247888	1.465913523	1.177105078	0.338030031	-0.643275329	-0.314308362
WNT8A	-0.777558775	-0.740422314	-0.593562511	-0.462488529	-0.854555996	-1.110109354	1.249690764	0.58778036	-0.258110311	0.284110297	1.324363167	-0.738090651	-0.472319811	2.390127926	0.171145737
HNRNPH3	-0.780869883	-0.30014595	-0.619260483	-0.967075482	-0.862643228	-0.119701235	-0.453824774	-0.207101836	2.172161918	-0.805545377	1.55852269	1.582268179	-0.555526038	0.567567254	-0.208825756
POLE3	-0.835945743	-0.798461791	-0.672803419	-1.005877824	-0.913322515	-0.603255594	-0.423206534	0.721354465	0.41818446	0.36322473	-0.90486398	2.104701092	0.23157153	0.450655034	1.868046089
LOC105372461	-0.737767151	-0.700269664	0.05074445	-0.918081385	-0.366535053	-0.705521398	-0.369190189	-0.233559642	2.184911084	-0.271512664	-0.351391529	1.856442101	1.53703076	-0.631588267	-0.343711453
EIF2B2	-0.800292248	-0.245202111	-0.027284988	-0.984431979	-0.882096389	-0.789865998	2.295934521	1.310647432	-0.882286255	0.746622362	0.390403093	-0.759212828	0.774657142	0.720806247	-0.868398001
MCM7	-1.032972791	-0.433222991	-0.032587256	-0.982500011	-0.633361422	-0.77040831	-0.235751221	-1.206391255	0.564827312	0.381810363	-0.065840158	1.719847664	1.840903603	-0.573334188	1.458980662
LOC105377803	-0.435991088	-1.019734156	-0.556981304	-0.563739749	-0.937617202	-0.934168717	0.599837238	-0.459991078	1.951371863	0.171052687	-0.073504876	2.178632323	0.656179632	-0.850608717	0.275263143
XBP1	-0.819817412	-0.131185981	0.086769209	-0.359594011	-0.903524994	-1.236684598	-0.506966653	-0.18957861	1.759093701	-0.060557776	0.28284757	2.30058332	-0.100910416	-1.071905439	0.951432089
H4C3	-0.856203854	-1.12035862	-0.60623446	-0.016519489	-0.781731397	-1.316103144	-0.361425636	0.797311347	1.756499534	0.189552739	0.415741685	2.029665863	-0.901829259	0.316026601	0.455608086
BUB1	-0.834318361	-0.135738497	-1.009377017	-0.773955075	-0.972714538	-1.230557218	2.071398627	-0.372142507	-0.283742363	0.710787633	0.170292131	0.53278276	-0.106139049	0.287835635	1.94558784
WDR31	-1.045453233	-0.167724419	-0.859712886	-1.253284824	-0.406791886	-0.505113339	-0.155921878	1.151628782	-0.80763948	-0.717568649	1.273510648	0.983552854	2.234804513	0.205440955	0.070272842
GPR50	-0.816623932	-0.776748684	-0.066572956	-0.651025829	-0.480553914	-0.479913515	-0.459273771	0.55569433	2.46081299	-0.088915147	0.551649822	1.863967859	-0.580447805	-1.067776368	0.035726919
LINC02127	-0.021992214	-0.815878102	-0.214455682	-0.750208934	-0.355835306	-0.809432224	0.79568847	-0.203726214	1.536292718	0.545136128	-0.339700272	2.661673882	-0.617833054	-0.838976584	-0.570752612
MAPT	-0.498150164	-0.65717279	-0.468284649	-0.269026191	-0.857400738	-1.080116023	0.961199465	-0.260614228	1.585069501	0.567409178	-0.091724074	2.520166466	-0.48135993	-0.830316421	-0.139679401
ZNF124	-1.054790825	-0.352154352	-0.867858781	-0.973358153	-0.256393801	-0.655571193	-0.693117006	2.064649329	0.919954911	1.425394227	-0.559566836	1.493845543	0.249003756	-0.189029662	-0.551007158
CHURC1-FNTB	-1.166351175	-0.312110246	0.028256516	-1.008501698	-1.269890909	-0.612926623	1.235069537	0.226452863	1.274208759	-0.232645179	-0.681825305	2.002574832	1.032336046	-0.808815442	0.294168024
CIRBP	-0.764572592	-0.30185055	-0.258055078	-1.303676434	-1.14530298	-1.613854819	1.77481173	-0.158836741	0.934194206	0.895427537	0.566321269	1.177462542	-0.465907415	-0.237141013	0.900980337
RTL9	-0.859620806	-0.81839425	-0.68410376	-0.424071073	-0.208913962	-0.722498503	-0.487526527	-0.376922893	2.420017839	0.720976212	-0.189901791	1.837964387	0.753024142	-0.779768202	-0.180260812
HNRNPA1	-0.858313875	-0.818648207	0.046047136	-0.624475634	-0.940957608	-0.801120074	0.369377344	-0.283068113	2.041001052	0.035978769	0.179257863	2.1471079	0.66774634	-1.094489362	-0.065443531
RPS3A	-0.339571327	-0.275091517	-0.649396326	-0.398741942	-0.89568218	-0.977531768	1.62030687	-0.975312961	1.666809364	-0.081246242	0.46279773	1.899968456	-0.583410466	0.408143021	-0.882040714
LOC105373897	-1.106763278	-0.34262476	-0.031241825	-1.290557064	-1.19236441	-1.449502938	0.382794235	1.131301413	0.547231608	-0.489631838	-0.596732056	1.392599362	0.74586484	1.208652125	1.090974586
TCFL5	-1.030748887	-0.986735729	-0.843407486	-0.598313685	0.26077379	-0.646014755	0.599957485	0.688840088	-0.138899578	-0.703214419	-0.549315711	2.515128052	1.137438315	-0.593098717	0.887611237
LOC105375990	-0.862252902	-0.049556014	-0.141132132	-0.484586224	-0.950353277	-0.770631953	1.634996765	-0.10856306	-0.950559063	0.036641338	0.094726058	0.721959138	2.413763362	-1.124430298	0.539978263
LOC101927226	-0.930622524	-0.892029171	-0.136818599	-1.252297262	-0.626940948	-1.178428436	0.979968286	0.16920498	1.600971795	0.439144999	-0.561910452	1.515987243	1.504447392	-0.587719486	-0.042957816
BTG2	-0.952874911	-0.594759685	0.571769229	-0.90444699	-1.037263523	-0.895165888	2.21883501	-0.145030494	1.266937086	-0.682314007	0.526627519	1.391274875	-0.323565886	-0.59861166	0.158589323
POGK	-1.475955648	-1.055503909	-0.311966172	-0.744211242	-1.038517523	-1.151109057	1.341869282	0.758211776	0.909612417	0.704449284	-0.284083164	1.187825221	1.542502622	-0.259541154	-0.123582732
SNRNP35	-0.482117535	0.105183114	-0.745008004	-1.112274803	-1.005555279	-0.634773154	-0.581026951	0.74378388	2.017512155	1.183992548	-0.601694999	1.493761052	-0.674301983	0.886666	-0.594146041
LOC105378798	-1.082162006	-0.64595758	-0.143277693	-0.643711884	-0.433229265	-0.235912307	1.797658752	-0.024827796	-0.433615137	0.550791693	-0.151686385	-1.034119485	2.356640805	-0.761721311	0.885129599
FBXO46	-1.196025669	-0.037989272	-0.074138552	-0.7832461	-1.295319368	-0.51814276	1.177116949	0.088054751	1.172148567	-0.254189289	-0.120866092	1.903962102	1.12538155	-1.476700615	0.289953798
LOC124902929	-0.849888722	-0.773167485	-1.091785487	-0.957063183	-0.501635373	-0.892607662	0.247694583	0.810291882	0.263284944	-0.357907094	1.356665217	0.43497495	2.553727662	-0.238584474	-0.003999757
SH3BP1	-0.974067033	-0.289750877	-0.792136661	0.174483629	-0.732523609	-0.266136779	-0.625605827	-0.858217032	1.391849668	-0.079126135	1.041579637	-0.541776673	2.475073464	0.78756149	-0.711207261
RPL35	-1.022118038	-0.546452037	0.229420101	-0.914886617	-0.746195369	-0.978794774	-0.663136696	-0.333606499	2.121224943	0.810636383	1.01016975	1.221844806	-0.761360215	-0.51557908	1.088833341
CAD	0.084553507	-1.139636874	-0.988053627	-0.770857114	-1.282213183	-0.341560794	-0.801135055	1.073756216	1.242540125	-0.067116083	-0.087483602	0.934058518	2.257604819	-0.191847696	0.07739084
TUBB	-1.090746193	-1.021593257	-0.488761883	-0.91430782	-0.256824339	-1.326513495	0.109319782	0.220825519	1.778850423	0.520943423	0.920593752	1.992682877	-0.342259266	0.412105717	-0.514315241
MYL12B	-0.508620326	-0.931434204	-0.786733217	-0.832886958	0.00827237	-0.585336463	2.491265093	-1.161323218	0.375459233	0.29375151	0.293969859	1.539394823	-0.7108373	-0.15597908	0.671037877
MIR193A	-1.004879359	-0.678394746	0.347675253	-0.735005969	-0.648623019	-1.246101602	-0.271202029	0.950075402	1.9534464	-0.048172896	-0.502247266	1.564378356	1.312657457	-0.800702568	-0.192903414
PRR29-AS1	-0.89844167	-0.356795647	-0.356324831	-0.277881844	-0.554044731	-1.214759379	0.89822012	-0.298697653	1.681828637	0.487569365	-0.031318775	2.342326677	-0.40041886	-1.198787254	0.177525846
NUF2	-0.581227035	-0.511221612	-0.278128041	-0.912577613	-0.236852073	-0.976628889	2.553676725	-0.133784875	0.559575911	-0.625951153	0.897156244	-0.994785218	0.232628038	-0.465453749	1.47357334
H4C2	-0.75941681	-0.043380789	-0.629428406	-0.445459508	-0.611544786	-1.375833022	1.157593041	-1.535806818	0.704448916	0.102561717	1.034477144	1.877390817	1.228884712	-0.378201678	-0.326284531
