Gene ID	NCD1	NCD2	NCD3	NCD4	NCD5	NCD6	1442 ETV6	1874 ETV6	3399 Phlike	3701 ETV6	4353 phlike	4370 ETV6	4395 ETV6	4894 Phlike	BALL10 ETV6
LOC124904086	-0.62304582	-0.590002219	-0.484686319	-0.481688221	-0.694323594	-0.778102388	-0.321431623	0.807679073	-0.694491411	1.26095718	2.143053715	-0.587952286	0.084917029	-0.83871934	1.797836223
DUX4	-0.752435881	-0.716655775	-0.083234842	-0.920015996	-0.457924916	-1.087697993	1.49788412	-0.900118154	1.164808391	0.57952238	0.145511633	-0.714418966	2.014402767	-0.694655438	0.925028668
LOC107987393	-0.75094808	-0.715145554	-0.583413459	-0.915662211	-0.825439883	-1.077224217	2.106588305	0.984959293	1.748458948	-0.199595648	0.060555456	1.03785682	-0.47657163	-0.114901873	-0.279516267
NEPRO	-0.86851263	-0.82733512	-0.693758945	-0.727007201	-0.557757535	-0.666967258	1.632870284	2.413443803	-0.956369141	0.028677785	0.219527576	0.609248019	-0.624295199	0.333817832	0.684417729
MCM7	-1.032972791	-0.433222991	-0.032587256	-0.982500011	-0.633361422	-0.77040831	-0.235751221	-1.206391255	0.564827312	0.381810363	-0.065840158	1.719847664	1.840903603	-0.573334188	1.458980662
LOC105377803	-0.435991088	-1.019734156	-0.556981304	-0.563739749	-0.937617202	-0.934168717	0.599837238	-0.459991078	1.951371863	0.171052687	-0.073504876	2.178632323	0.656179632	-0.850608717	0.275263143
H4C3	-0.856203854	-1.12035862	-0.60623446	-0.016519489	-0.781731397	-1.316103144	-0.361425636	0.797311347	1.756499534	0.189552739	0.415741685	2.029665863	-0.901829259	0.316026601	0.455608086
BUB1	-0.834318361	-0.135738497	-1.009377017	-0.773955075	-0.972714538	-1.230557218	2.071398627	-0.372142507	-0.283742363	0.710787633	0.170292131	0.53278276	-0.106139049	0.287835635	1.94558784
WDR31	-1.045453233	-0.167724419	-0.859712886	-1.253284824	-0.406791886	-0.505113339	-0.155921878	1.151628782	-0.80763948	-0.717568649	1.273510648	0.983552854	2.234804513	0.205440955	0.070272842
MAPT	-0.498150164	-0.65717279	-0.468284649	-0.269026191	-0.857400738	-1.080116023	0.961199465	-0.260614228	1.585069501	0.567409178	-0.091724074	2.520166466	-0.48135993	-0.830316421	-0.139679401
ZNF124	-1.054790825	-0.352154352	-0.867858781	-0.973358153	-0.256393801	-0.655571193	-0.693117006	2.064649329	0.919954911	1.425394227	-0.559566836	1.493845543	0.249003756	-0.189029662	-0.551007158
CHURC1-FNTB	-1.166351175	-0.312110246	0.028256516	-1.008501698	-1.269890909	-0.612926623	1.235069537	0.226452863	1.274208759	-0.232645179	-0.681825305	2.002574832	1.032336046	-0.808815442	0.294168024
CIRBP	-0.764572592	-0.30185055	-0.258055078	-1.303676434	-1.14530298	-1.613854819	1.77481173	-0.158836741	0.934194206	0.895427537	0.566321269	1.177462542	-0.465907415	-0.237141013	0.900980337
LOC101927226	-0.930622524	-0.892029171	-0.136818599	-1.252297262	-0.626940948	-1.178428436	0.979968286	0.16920498	1.600971795	0.439144999	-0.561910452	1.515987243	1.504447392	-0.587719486	-0.042957816
POGK	-1.475955648	-1.055503909	-0.311966172	-0.744211242	-1.038517523	-1.151109057	1.341869282	0.758211776	0.909612417	0.704449284	-0.284083164	1.187825221	1.542502622	-0.259541154	-0.123582732
FBXO46	-1.196025669	-0.037989272	-0.074138552	-0.7832461	-1.295319368	-0.51814276	1.177116949	0.088054751	1.172148567	-0.254189289	-0.120866092	1.903962102	1.12538155	-1.476700615	0.289953798
LOC124902929	-0.849888722	-0.773167485	-1.091785487	-0.957063183	-0.501635373	-0.892607662	0.247694583	0.810291882	0.263284944	-0.357907094	1.356665217	0.43497495	2.553727662	-0.238584474	-0.003999757
TUBB	-1.090746193	-1.021593257	-0.488761883	-0.91430782	-0.256824339	-1.326513495	0.109319782	0.220825519	1.778850423	0.520943423	0.920593752	1.992682877	-0.342259266	0.412105717	-0.514315241
MIR193A	-1.004879359	-0.678394746	0.347675253	-0.735005969	-0.648623019	-1.246101602	-0.271202029	0.950075402	1.9534464	-0.048172896	-0.502247266	1.564378356	1.312657457	-0.800702568	-0.192903414
H4C2	-0.75941681	-0.043380789	-0.629428406	-0.445459508	-0.611544786	-1.375833022	1.157593041	-1.535806818	0.704448916	0.102561717	1.034477144	1.877390817	1.228884712	-0.378201678	-0.326284531
NBPF10	-0.688345564	-0.607227463	-0.335520442	-0.887570166	-0.750679745	-1.072344094	1.369680827	0.556178424	0.777235009	0.426893526	0.674113549	0.35581239	1.958948753	-1.775796298	-0.001378705
NBPF19	-0.438242577	-0.474801287	-0.557060009	-0.679924189	-0.865977839	-0.76554057	1.775338094	0.613381175	0.817662298	0.564942906	0.433918766	-1.034132631	2.054422154	-1.189548557	-0.254437733
NBPF14	-0.915778012	-0.202168731	-0.244447245	-0.893961442	-1.067568073	-0.914522955	1.461319152	0.655553179	0.836783832	0.325973382	0.503291652	-0.515526092	2.120939321	-1.360838131	0.210950163
ZNF853	-0.402800241	-0.287447479	-0.322161025	-0.518771293	-0.456446214	-0.513291653	0.790767122	0.037367359	2.173316447	0.105476611	-0.546237974	2.301281088	-0.651083016	-1.040843016	-0.669126716
LINC02941	-0.577916196	-0.448500222	-0.529648289	-0.324807679	-0.377920477	-0.414724308	0.632229103	0.040921838	2.210923813	0.016321539	-0.480670043	2.335559005	-0.888389153	-0.975492006	-0.217886925
H4C5	-0.414096509	-0.654717608	-0.183407623	-0.969327721	-0.389045369	-1.451944765	0.553170668	-1.172549349	1.488569813	0.056430133	0.928006072	2.232303615	-0.230830778	-0.313453596	0.520893017
CCDC66	-0.550554245	-0.96690266	-1.212700425	-0.839836736	-0.331554646	-0.569033131	2.498103358	-0.211666112	0.46913087	-0.609029197	-0.111263345	0.107437072	1.657491493	-0.03902186	0.709399564
JUP	0.097146302	-0.688967089	-0.85553137	-0.492605016	-0.527465263	-1.286234607	1.494280207	-0.141755225	1.914764262	0.239766966	-0.178128803	1.915404821	-0.545574791	-0.778435193	-0.166665203
LINC02237	-1.468147441	-1.416389224	-0.424304038	-0.870498846	-0.36160375	-0.637722299	1.106398507	0.513807486	0.647020714	-0.100732222	-0.752435173	2.121260241	1.080861498	0.117112434	0.445372114
PIK3CD	-0.760272719	-0.796661554	-0.526755942	-0.467551376	-0.735351998	-0.974032085	0.895571631	0.114862018	1.426083947	-0.644142211	-0.74053837	2.401836865	1.061622163	-0.302256058	0.047585689
HLA-B	-0.76833002	-0.849505439	-0.783625849	-0.45902988	-0.837832514	-1.137915885	1.207794394	0.471613185	1.144742725	0.075061398	0.179660079	1.230348455	1.975603054	-1.154942189	-0.293641513
LOC124904145	-0.550429514	-0.976038592	-0.13827665	-0.570293272	-0.925320648	-0.995006521	0.924628068	-0.226514521	1.848371628	-0.014370385	-0.387922587	1.659698654	1.545267587	-0.932551345	-0.261241903
CALCOCO2	-1.124034106	-1.035867952	-0.177278322	-0.964980549	-0.757569097	-0.672845591	1.926016085	-0.2453032	1.17191265	-0.522280801	-0.454291354	1.66063018	1.064231181	-0.210829174	0.342490051
NBPF20	-0.599205915	-0.012932401	-0.573125415	-1.096464189	-0.858466135	-0.889457944	1.472949243	0.696605733	0.912640916	0.815666237	0.314910067	-0.696808331	2.118627234	-0.986465258	-0.618473842
LOC124904139	-0.732755203	-1.022621885	-0.39913212	-0.486678534	-0.96534202	-1.319929412	0.929163722	-0.00599017	1.729882639	-0.021253685	-0.024103953	1.437566463	1.734961809	-0.583401867	-0.270365785
PDE7A	-0.756883893	-0.575591888	-0.636815304	-1.350000382	-1.203673873	-0.401419926	2.335538714	-0.141381749	0.504652656	-0.228928447	-0.117005647	0.373605542	1.682206262	-0.166381695	0.682079631
LOC101928166	-0.18586928	-0.863400778	-0.785779572	-1.724223807	-0.287885561	-1.655313856	-0.168114903	0.212858865	1.350021102	-0.256322692	1.297680699	0.665353848	1.528044974	0.403245324	0.469705637
LOC124904138	-0.819490435	-0.788585983	-0.267006271	-0.47336587	-0.962343488	-1.313772337	1.099448573	-0.11890306	1.752634128	-0.017989329	-0.184756082	1.325163378	1.76059717	-0.698991885	-0.292638509
ARFGAP3	-0.675215607	-1.228084726	-0.92851353	-0.729710178	-0.405471833	-0.913721413	2.185005468	-0.263118498	0.795072972	0.278198172	0.643574165	0.681577744	1.562592796	-0.136162872	-0.866022661
WDR74	-0.301044539	-0.85422081	-0.193459133	-0.437370639	-0.752733264	-1.091727882	0.761021279	-0.526882949	2.153202441	0.285629789	-0.277339494	2.115955625	0.358674512	-0.908462253	-0.331242683
RNU2-1	-0.54128998	-1.013971729	-0.371533492	-0.484143454	-0.831074379	-1.35068749	1.150549752	-0.038610002	1.725069093	-0.142205812	-0.098847775	1.387371589	1.702757115	-0.68517556	-0.408207878
LOC124904140	-0.601434206	-0.893363917	-0.337161651	-0.394463786	-1.038933099	-1.41626136	0.973638804	-0.111066561	1.735972275	-0.074787125	-0.044358886	1.369605607	1.764276279	-0.66802338	-0.263638994
LOC124904144	-0.698317819	-0.773148333	-0.329880036	-0.566894359	-0.935901247	-1.290844522	1.040196799	-0.112021488	1.714813111	0.117679986	-0.255836244	1.354824365	1.830990947	-0.688287945	-0.407373215
CAMK1D	-0.718726936	-0.620562074	-0.929233436	-0.927851472	-0.894406617	-0.6225124	2.347557341	-0.032218093	0.346225715	-0.300072048	-0.274453336	0.146801131	2.00048284	-0.114757244	0.59372663
GSKIP	-0.334273032	-0.606660114	-0.244624505	-0.972498228	-0.821987973	-0.819867358	1.223905697	0.6725841	1.256040129	-0.452571204	-0.571761361	-0.234965093	2.404204734	-1.006366469	0.508840678
LOC124904135	-0.643281864	-1.06822467	-0.183850736	-0.381662613	-0.758473384	-1.551829041	1.102170749	-0.024640917	1.728745998	-0.048250693	-0.176895614	1.245622638	1.718320607	-0.681047094	-0.276703364
LOC124904142	-0.594485499	-0.899464814	-0.242727875	-0.499521681	-0.886873966	-1.405593124	1.093367007	-0.114195449	1.711389481	-0.099466819	-0.148280323	1.377737515	1.766458564	-0.62680779	-0.431535227
LOC105371237	-0.229191936	-0.316651097	-0.845799992	-1.107823184	-0.923390809	-0.77758882	2.020958802	-0.19275102	-0.678323493	0.289585032	-0.354264069	1.591864233	1.75773638	-0.168240761	-0.066119267
LOC124904146	-0.459624401	-0.933881102	-0.288158864	-0.606919453	-0.864537893	-1.436469287	1.016430049	-0.041144869	1.732846742	-0.049423292	-0.185880369	1.318811069	1.809801044	-0.669047312	-0.342802062
LOC124904136	-0.612820444	-0.919358097	-0.348017081	-0.489767931	-0.706975064	-1.391961998	1.085527584	-0.06222811	1.768266142	-0.137010897	-0.097143754	1.358845576	1.746127762	-0.730961252	-0.462522435
LOC124904141	-0.539893508	-0.86911497	-0.110412178	-0.497333581	-1.01115832	-1.415615554	0.952614805	-0.097351561	1.759629728	-0.045352835	-0.242460484	1.355064471	1.784545437	-0.667928465	-0.355232985
