Gene ID	1442plasma	1874plasma	3399plasma	3701plasma	4353plasma	4370plasma	4395plasma	4894plasma	BALL10	HD1	HD2	HD3	HD4	HD5	HD6						
LOC124904086	0.551936505	2.627922276	-0.133972162	3.461320547	5.083145459	0.061910942	1.299050161	-0.399149995	4.448427709	-0.002612117	0.05814193	0.251776009	0.257288321	-0.133663612	-0.287699514						
DUX4	3.734691139	0.004040574	3.216514334	2.305965744	1.630761031	0.292938875	4.53825609	0.323685641	2.843481177	0.233794717	0.289458998	1.274892659	-0.026915149	0.691975056	-0.287783516						
LOC100533997	0.513940969	-0.250417723	4.336511969	2.433314933	1.240460245	4.390947468	0.342953079	1.59402164	0.530395599	0.691618638	0.045223082	1.085959666	-0.284255901	-0.130621798	-0.597216486						
LOC107987393	2.880415188	1.695889759	2.502203385	0.44490977	0.719649096	1.751753565	0.152402096	0.53435283	0.360507527	-0.137360275	-0.099550088	0.03956901	-0.311310908	-0.216029277	-0.481932657						
GHITM	1.738553871	2.686257712	4.564846203	0.227953237	0.149001102	5.178298405	2.730154437	1.983469613	1.474580644	0.268515083	0.331301301	0.533263961	-0.038918941	0.133909885	1.232213763						
NEPRO	3.948166995	5.077156822	0.203196283	1.627928137	1.903965522	2.467641337	0.683494542	2.069270305	2.576363752	0.330268371	0.389825849	0.583025001	0.534936074	0.779731916	0.621775409						
NME5	0.525706793	1.346356176	3.46812727	0.651159234	-0.045229493	0.79674434	1.769358605	1.957481209	4.02802564	0.047481848	0.096771085	1.076799796	-0.187230014	-0.056817643	0.264766218						
PIK3IP1	0.659778138	2.211326332	4.695381904	0.09745101	0.022478242	4.606424212	2.326320514	1.798424825	0.655682642	0.820373496	0.19553937	0.386819335	0.729958963	0.008146597	0.475545754						
BTG1	2.653865843	-0.039257515	4.642880617	1.995728128	2.591420922	4.380584485	1.441309628	0.298711459	0.107469622	0.878176293	0.970691487	0.461738755	-0.074626191	0.682790048	0.173167244						
PSMB5	0.131800487	2.559316771	-0.357960698	0.947672355	0.554286994	1.551558451	1.65931108	0.381814416	0.204042862	-0.290837498	-0.258469377	-0.117012943	-0.4380336	-0.357807941	-0.341777424						
LOC643327	1.271868509	3.53815843	-0.191303248	0.511984344	2.038647998	1.094272525	2.866496706	0.788396329	-0.175442515	-0.097464027	0.646794424	0.092812956	-0.307339587	-0.191086528	-0.021340254						
SNHG5	0.333153882	0.93066384	1.707519469	2.350782798	1.93659584	1.686518278	0.959968051	0.110261419	0.395112012	-0.053321263	-0.022472867	0.087785769	-0.189357615	-0.116102725	-0.108059838						
WNT8A	1.573274406	0.978566442	0.218557359	0.705727393	1.64036547	-0.212691537	0.026096121	2.597925264	0.604231899	-0.248152542	-0.214786471	-0.08283705	0.034929252	-0.317332389	-0.546939926						
HNRNPH3	0.759559947	1.148055425	4.89449755	0.205732789	3.928247444	3.965637625	0.599418854	2.367866766	1.145340902	0.244587376	1.001546074	0.499061166	-0.048616141	0.11582523	1.285678373						
POLE3	0.451860801	1.600301745	1.296104024	1.240957986	-0.031429414	2.988337775	1.108858496	1.32868467	2.750880536	0.037722449	0.075333467	0.201417808	-0.132785685	-0.039916623	0.271201393						
LOC105372461	0.46125682	0.642592533	3.876046376	0.591849994	0.485053323	3.436888985	3.009841505	0.110435094	0.495321453	-0.031524251	0.018609246	1.022702224	-0.272601286	0.464806692	0.011587768						
EIF2B2	4.239505601	2.934611713	0.030335593	2.187628551	1.715859102	0.1933315	2.224757234	2.153438221	0.048728911	0.138926765	0.874076686	1.162681627	-0.104944095	0.030587048	0.152735075						
MCM7	2.381491705	0.682339962	3.782942666	3.462562754	2.678929136	5.804860961	6.016775163	1.790536597	5.348200813	0.985917267	2.035807938	2.737139929	1.074272279	1.685456056	1.445548932						
LOC105377803	6.552457102	4.756089983	8.843254886	5.825684231	5.411168824	9.228452387	6.647955232	4.09400852	6.002316836	4.796769018	3.807347584	4.591695383	4.580240086	3.946532576	3.952377621						
XBP1	0.963306897	1.514274127	4.897056209	1.738246809	2.334378568	5.837050773	1.668196967	-0.017394062	3.495002505	0.420216128	1.615640343	1.993997908	1.219137254	0.274904622	-0.303441123						
H4C3	2.573433182	4.53868069	6.165488345	3.507906573	3.891528801	6.628785413	1.656894839	3.722409472	3.959143235	1.734276691	1.286263464	2.158231166	3.158402812	1.86058388	0.954275753						
