,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0000003,0,NA,NA,NA,NA,NA
FBgn0000008,762.3007323,-3.700024688,0.609792654,-6.067676717,1.30E-09,3.28E-08
FBgn0000014,9.48534582,-0.059575369,0.872691027,-0.068266279,NA,NA
FBgn0000015,6.991078462,-1.854801007,0.891258403,-2.081103528,0.037424431,0.13499278
FBgn0000017,28132.36896,-0.385133025,0.34709692,-1.109583531,0.267178531,0.498003094
FBgn0000018,171.0518172,-0.877365654,0.572392079,-1.532805372,0.125323817,0.311380493
FBgn0000022,0.044993318,-0.10989245,0.627360644,-0.175166311,0.860948955,NA
FBgn0000024,77304.58571,-0.831282546,0.287143836,-2.895003972,0.003791537,0.0230515
FBgn0000028,158.5997648,-1.147737125,0.468284199,-2.45094139,0.014248315,0.065586945
FBgn0000032,1145.980978,0.449082215,0.325534631,1.379522093,0.167733839,0.376042184
FBgn0000036,8446.662986,2.075688045,0.308235796,6.734091477,1.65E-11,5.06E-10
FBgn0000037,8202.085532,-1.064521874,0.243098262,-4.378977716,1.19E-05,0.000162421
FBgn0000038,27248.9528,-0.77959204,0.241175618,-3.232466224,0.001227266,0.009031972
FBgn0000039,2491.42453,1.942638189,0.332087806,5.849772729,4.92E-09,1.19E-07
FBgn0000042,37864.40093,0.819027852,0.231016293,3.545325064,0.000392129,0.003452519
FBgn0000043,2556.641371,-1.799219669,0.177434184,-10.14020875,3.66E-24,2.19E-22
FBgn0000044,4.190541855,-0.461158192,0.849836131,-0.542643664,0.58737517,NA
FBgn0000045,3.014548196,0.423714131,0.825383659,0.513354155,0.607703608,NA
FBgn0000046,2.330593106,-0.710815443,0.719874909,-0.987415221,0.323439126,NA
FBgn0000047,1.402177056,0.129978776,0.64419157,0.201770377,0.840096241,NA
FBgn0000052,62.18377206,-0.024302257,0.873101681,-0.027834395,0.977794233,0.991496776
FBgn0000053,15.71105793,0.829066884,0.896648193,0.924628958,0.355158945,0.587683295
FBgn0000054,5505.45437,0.766840737,0.22516218,3.405726205,0.000659883,0.005388675
FBgn0000055,11.15523308,-0.850220477,0.878777261,-0.967503957,0.333292164,0.566321188
FBgn0000056,0,NA,NA,NA,NA,NA
FBgn0000057,1567.147023,-0.754111274,0.296356529,-2.544608266,0.010940039,0.054210248
FBgn0000061,0.51654375,-0.333008928,0.631776243,-0.527099479,0.598124509,NA
FBgn0000063,138.221276,0.233238124,0.637984991,0.365585597,0.714674324,0.857428744
FBgn0000064,81488.30334,1.263167699,0.222661589,5.673038204,1.40E-08,3.21E-07
FBgn0000071,1.314292737,-0.950462551,0.640509914,-1.483915439,NA,NA
FBgn0000075,2.978293734,-0.075235542,0.700707165,-0.107370876,0.914494759,NA
FBgn0000077,631.7451669,0.145086577,0.355872001,0.407693149,0.683498968,0.836736855
FBgn0000078,0.232068976,-0.10989245,0.627360644,-0.175166311,0.860948955,NA
FBgn0000079,0.668878843,-0.10989245,0.627360644,-0.175166311,0.860948955,NA
FBgn0000083,40.78703488,-0.771583378,0.733718433,-1.051606915,0.292979934,0.524881735
FBgn0000084,8672.051472,0.861070929,0.31326128,2.748730802,0.00598265,0.033415204
FBgn0000092,32.46088212,1.131067383,0.791143388,1.429661677,0.152814144,0.353983494
FBgn0000094,0,NA,NA,NA,NA,NA
FBgn0000097,1978.491783,1.098144407,0.233696263,4.699024255,2.61E-06,4.14E-05
FBgn0000099,18155.66051,0.158141419,0.262236899,0.603047931,0.546476804,0.743451025
FBgn0000100,7381.651473,-0.124882444,0.29048672,-0.429907585,0.667262868,0.826716244
FBgn0000108,75819.51306,-0.027865152,0.261954406,-0.106374052,0.915285579,0.960821682
FBgn0000109,413.0671685,0.040952606,0.369799673,0.110742676,0.911820403,0.959130094
FBgn0000114,2213.712205,0.640582838,0.190733376,3.358525141,0.000783596,0.006180071
FBgn0000115,540.6452776,-0.010465832,0.378297389,-0.027665621,0.977928844,0.991496776
FBgn0000116,137836.0755,0.726570653,0.292988075,2.479864247,0.013143241,0.061626029
FBgn0000117,21263.20489,1.449587833,0.355633623,4.076070813,4.58E-05,0.000534461
FBgn0000119,1042.683394,-3.20528302,0.411582113,-7.787712135,6.82E-15,2.60E-13
FBgn0000120,1.136536985,-0.140606503,0.637819407,-0.220448768,NA,NA
FBgn0000121,7.601742258,-0.267627634,0.778100197,-0.343950091,NA,NA
FBgn0000137,2.741671323,-0.182107518,0.652892243,-0.278924309,0.780302913,NA
FBgn0000139,1029.742008,0.736505163,0.391390776,1.881764229,0.059868035,0.187583926
FBgn0000140,3.677918673,0.028171336,0.776451399,0.036282163,0.971057372,NA
FBgn0000146,0.98041626,-0.272212862,0.639634696,-0.42557551,0.670417189,NA
FBgn0000147,171.6650583,1.017033761,0.602523997,1.687955612,0.09141975,0.25046684
FBgn0000150,4259.130317,-0.27447332,0.399318565,-0.687354267,0.491859509,0.707293053
FBgn0000152,13.97569727,-0.37974639,0.890489822,-0.426446637,0.669782424,0.828192518
FBgn0000153,7.830055759,1.587983627,0.880717187,1.803057383,0.071379203,0.211215271
FBgn0000157,222.4087971,-0.425487149,0.877865896,-0.484683539,NA,NA
FBgn0000158,0.073016263,-0.246793766,0.627360644,-0.393384201,0.694035737,NA
FBgn0000163,8578.971827,-1.0521188,0.364650488,-2.885280107,0.003910655,0.023701313
FBgn0000166,4.572101032,-0.211679371,0.896701843,-0.236064387,0.813382708,NA
FBgn0000173,8126.491796,-0.044530215,0.281438538,-0.158223587,0.874280618,0.939987543
FBgn0000179,1552.121046,2.642638594,0.296313424,8.918389732,4.73E-19,2.24E-17
FBgn0000180,453.3596953,-6.182149646,0.532543237,-11.6087281,3.72E-31,2.77E-29
FBgn0000181,4856.566781,-0.047107049,0.308570934,-0.152661977,0.878664847,0.941963946
FBgn0000182,0,NA,NA,NA,NA,NA
FBgn0000183,6807.777556,-0.244956474,0.271269087,-0.9030018,0.36652494,0.597793202
FBgn0000206,7.110634082,0.945984793,0.789238784,1.198604038,NA,NA
FBgn0000210,2090.886766,-0.766953882,0.423941566,-1.809102818,0.070435031,0.209060153
FBgn0000212,2821.157541,-0.181850695,0.328311784,-0.553896339,0.579649791,0.766191673
FBgn0000216,2.407071419,0.628460971,0.649519822,0.967577816,NA,NA
FBgn0000221,390.2135167,-1.972876275,0.461637638,-4.27364693,1.92E-05,0.000248188
FBgn0000227,0.79852675,-0.687242134,0.635820931,-1.080873718,NA,NA
FBgn0000228,3637.780066,-0.089572187,0.222031717,-0.403420682,0.686638774,0.838705578
FBgn0000229,21621.74272,0.23753402,0.241094465,0.985232161,0.324510047,0.558138839
FBgn0000233,13.3620081,0.260372359,0.891220414,0.292152598,0.770169953,0.888834127
FBgn0000239,4091.475073,0.011912059,0.316771294,0.037604604,0.970002937,0.988621591
FBgn0000241,4.554959256,-0.388813831,0.745762413,-0.52136421,NA,NA
FBgn0000244,3.942362363,-0.399204097,0.840311997,-0.475066521,NA,NA
