NAME	ClusterOrigin	EnsemblID	EntrezGeneID	Aliases	GeneType	Origin	Functions
ADAM10	Cluster#1	ENSG00000137845	102	[AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	EPH-Ephrin signaling | Amyloid fiber formation
ARFGAP3	Cluster#1	ENSG00000242247	26286	[ARFGAP1]	protein_coding,retained_intron	Initial Gene From Selection	CDC42 binds effectors at the plasma membrane
ARPC2	Cluster#1	ENSG00000163466	10109	[ARC34, PNAS-139, PRO2446, p34-Arc]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	EPH-Ephrin signaling
BTRC	Cluster#1	ENSG00000166167	8945	[BETA-TRCP, FBW1A, FBXW1, FBXW1A, FWD1, bTrCP, bTrCP1, betaTrCP]	processed_transcript,protein_coding	Initial Gene From Selection	Deactivation of the beta-catenin transactivating complex | AcM-UBE2M transfers NEDD8 to CRL1 E3 ubiquitin ligase complex | NEDD8:AcM-UBE2M binds CRL1 E3 ubiquitin ligase complex
BUB1	Cluster#1	ENSG00000169679	699	[BUB1A, BUB1L, hBUB1]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cell cycle | Cell Cycle Checkpoints
CCND2	Cluster#1	ENSG00000118971	894	[KIAK0002, MPPH3]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cyclin D associated events in G1 | G1 Phase | Cell cycle
CDC23	Cluster#1	ENSG00000094880	8697	[ANAPC8, APC8, CUT23]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	Senescence-Associated Secretory Phenotype (SASP) | Cell cycle
CDC34	Cluster#1	ENSG00000099804	997	[E2-CDC34, UBC3, UBCH3, UBE2R1]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Downstream TCR signaling
CDH7	Cluster#1	ENSG00000081138	1005	[CDH7L1]	processed_transcript,protein_coding	Initial Gene From Selection	Cell-cell junction organization
CDKN2D	Cluster#1	ENSG00000129355	1032	[INK4D, p19, p19-INK4D]	protein_coding	Initial Gene From Selection	Cyclin D associated events in G1 | G1 Phase | Senescence-Associated Secretory Phenotype (SASP)
CLSPN	Cluster#1	ENSG00000092853	63967	[]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Loading of claspin onto DNA during replication origin firing | Activation of claspin
CLTCL1	Cluster#1	ENSG00000070371	8218	[CHC22, CLH22, CLTCL, CLTD]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	EPH-Ephrin signaling
CTBP1	Cluster#1	ENSG00000159692	1487	[BARS, HADDTS]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Deactivation of the beta-catenin transactivating complex | SUMOylation of transcription cofactors
DCUN1D2	Cluster#1	ENSG00000150401	55208	[C13orf17, DCNL2]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	AcM-UBE2M transfers NEDD8 to CRL1 E3 ubiquitin ligase complex | NEDD8:AcM-UBE2M binds CRL1 E3 ubiquitin ligase complex | 26S proteasome degrades HIFalpha
DCUN1D5	Cluster#1	ENSG00000137692	84259	[DCNL5, SCCRO5]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	AcM-UBE2M transfers NEDD8 to CRL1 E3 ubiquitin ligase complex | NEDD8:AcM-UBE2M binds CRL1 E3 ubiquitin ligase complex | 26S proteasome degrades HIFalpha
DNMT1	Cluster#1	ENSG00000130816	1786	[ADCADN, AIM, CXXC9, DNMT, HSN1E, MCMT, m.HsaI]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	DNMT1 methylates cytosine in hemimethylated DNA | UHRF1:Chromatin binds DNMT1 | DNA methylation
DOCK8	Cluster#1	ENSG00000107099	81704	[HEL-205, MRD2, ZIR8]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	RHOJ GTPase cycle
EEF1A1	Cluster#1	ENSG00000156508	1915	[CCS-3, CCS3, EE1A1, EEF-1, EEF1A, EF-Tu, EF1A, EF1A1, EF1alpha1, GRAF-1EF, LENG7, PTI1, eEF1A-1]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Aminoacyl-tRNA  binds to the ribosome at the A-site | Hydrolysis of eEF1A:GTP | Peptide chain elongation | Translocation of ribosome by 3 bases in the 3' direction
FBXL19	Cluster#1	ENSG00000099364	54620	[CXXC11, Fbl19, JHDM1C]	protein_coding	Initial Gene From Selection	AcM-UBE2M transfers NEDD8 to CRL1 E3 ubiquitin ligase complex | NEDD8:AcM-UBE2M binds CRL1 E3 ubiquitin ligase complex
FOXM1	Cluster#1	ENSG00000111206	2305	[FKHL16, FOXM1A, FOXM1B, FOXM1C, HFH-11, HFH11, HNF-3, INS-1, MPHOSPH2, MPP-2, MPP2, PIG29, TRIDENT]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cellular senescence
H4C2	Cluster#1	ENSG00000278705	8366	[H4-16, H4/I, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, H4FI, HIST1H4B]	protein_coding	Initial Gene From Selection	DNMT3A binds Me2sR4-HIST1H4 | SETD8 (KMT5A) methylates lysine-21 of histone H4 (H4K20) | PHF8 demethylates MeK21-histone H4 | JMJD6 demethylates MeR4-HIST1H4 | JMJD6 demethylates Me2sR4-HIST1H4 | Type B histone acetlytransferase complex acetylates histone H4 | SUMOylation of Histone H4 with SUMO3 | SUMOylation of Histone H4 with SUMO1 | PRMT1,PRMT6 methylate arginine-4 of histone H4 | PRMT1,PRMT6 methylate methyl-lysine-4 of histone H4
H4C3	Cluster#1	ENSG00000197061	8364	[H4-16, H4/g, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C4, H4C5, H4C6, H4C8, H4C9, H4FG, HIST1H4C, TEVANED1, dJ221C16.1]	protein_coding	Initial Gene From Selection	DNMT3A binds Me2sR4-HIST1H4 | SETD8 (KMT5A) methylates lysine-21 of histone H4 (H4K20) | PHF8 demethylates MeK21-histone H4 | JMJD6 demethylates MeR4-HIST1H4 | JMJD6 demethylates Me2sR4-HIST1H4 | Type B histone acetlytransferase complex acetylates histone H4 | SUMOylation of Histone H4 with SUMO3 | SUMOylation of Histone H4 with SUMO1 | PRMT1,PRMT6 methylate arginine-4 of histone H4 | PRMT1,PRMT6 methylate methyl-lysine-4 of histone H4
H4C5	Cluster#1	ENSG00000276966	8367	[H4-16, H4/j, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C6, H4C8, H4C9, H4FJ, HIST1H4E]	protein_coding	Initial Gene From Selection	DNMT3A binds Me2sR4-HIST1H4 | SETD8 (KMT5A) methylates lysine-21 of histone H4 (H4K20) | PHF8 demethylates MeK21-histone H4 | JMJD6 demethylates MeR4-HIST1H4 | JMJD6 demethylates Me2sR4-HIST1H4 | Type B histone acetlytransferase complex acetylates histone H4 | SUMOylation of Histone H4 with SUMO3 | SUMOylation of Histone H4 with SUMO1 | PRMT1,PRMT6 methylate arginine-4 of histone H4 | PRMT1,PRMT6 methylate methyl-lysine-4 of histone H4
H4C8	Cluster#1	ENSG00000158406	8365	[H4-16, H4/h, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C9, H4FH, HIST1H4H]	nonsense_mediated_decay,protein_coding	Initial Gene From Selection	DNMT3A binds Me2sR4-HIST1H4 | SETD8 (KMT5A) methylates lysine-21 of histone H4 (H4K20) | PHF8 demethylates MeK21-histone H4 | JMJD6 demethylates MeR4-HIST1H4 | JMJD6 demethylates Me2sR4-HIST1H4 | Type B histone acetlytransferase complex acetylates histone H4 | SUMOylation of Histone H4 with SUMO3 | SUMOylation of Histone H4 with SUMO1 | PRMT1,PRMT6 methylate arginine-4 of histone H4 | PRMT1,PRMT6 methylate methyl-lysine-4 of histone H4
HDAC9	Cluster#1	ENSG00000048052	9734	[HD7, HD7b, HD9, HDAC, HDAC7, HDAC7B, HDAC9B, HDAC9FL, HDRP, MITR]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Viral carcinogenesis
HIRA	Cluster#1	ENSG00000100084	7290	[DGCR1, TUP1, TUPLE1]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	DNA Damage/Telomere Stress Induced Senescence
HLA-B	Cluster#1	ENSG00000206450	3106	[AS, B-4901, HLAB]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	Graft-versus-host disease | DAP12 interactions
HLA-C	Cluster#1	ENSG00000204525	3107	[D6S204, HLA-JY3, HLAC, HLC-C, MHC, PSORS1]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Graft-versus-host disease | DAP12 interactions
IGF2R	Cluster#1	ENSG00000197081	3482	[CD222, CI-M6PR, CIMPR, M6P-R, M6P/IGF2R, MPR 300, MPR1, MPR300, MPRI]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Exocytosis of secretory granule membrane proteins
ING2	Cluster#1	ENSG00000168556	3622	[ING1L, p33ING2]	protein_coding	Initial Gene From Selection	SUMOylation of transcription cofactors | SUMO E3 ligases SUMOylate target proteins
JUP	Cluster#1	ENSG00000173801	3728	[CTNNG, DP3, DPIII, PDGB, PG, PKGB]	protein_coding,retained_intron	Initial Gene From Selection	RHOJ binds effectors at the plasma membrane | RHOJ GTPase cycle
KDM1A	Cluster#1	ENSG00000004487	23028	[AOF2, BHC110, CPRF, KDM1, LSD1]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	HDMs demethylate histones | KDM1A is recruited to MYC and BCL2 genes | KDM1A demethylates H3 on MYC and BCL genes in response to estrogen | KDM1A demethylates dimethylated H3K9 (Me2K-10-H3) at KLK2 and KLK3 promoters | Demethylase KDM1A binds KLK2 and KLK3 promoters | KDM1A demethylates monomethylated H3K9 (MeK-10-H3) at KLK2 and KLK3 promoters
KIR3DL2	Cluster#1	ENSG00000240403	3812	[3DL2, CD158K, KIR-3DL2, NKAT-4, NKAT4, NKAT4B, p140]	protein_coding	Initial Gene From Selection	Graft-versus-host disease | Antigen processing and presentation
LCK	Cluster#1	ENSG00000182866	3932	[IMD22, LSK, YT16, p56lck, pp58lck]	protein_coding,retained_intron	Initial Gene From Selection	DAP12 interactions | Downstream TCR signaling
LIN52	Cluster#1	ENSG00000205659	91750	[C14orf46, c14_5549]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	G1/S Transition | Mitotic G1 phase and G1/S transition
MCM10	Cluster#1	ENSG00000065328	55388	[CNA43, DNA43, IMD80, PRO2249]	protein_coding,retained_intron	Initial Gene From Selection	Loading of claspin onto DNA during replication origin firing | Activation of claspin
MCM7	Cluster#1	ENSG00000166508	4176	[CDC47, MCM2, P1.1-MCM3, P1CDC47, P85MCM, PNAS146, PPP1R104]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	Loading of claspin onto DNA during replication origin firing | Activation of claspin
