NAME	ClusterOrigin	EnsemblID	EntrezGeneID	Aliases	GeneType	Origin	Functions
ADAM10	Cluster#1	ENSG00000137845	102	[AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	membrane protein ectodomain proteolysis
ANP32E	Cluster#1	ENSG00000143401	81611	[LANP-L, LANPL]	protein_coding	Initial Gene From Selection	nucleosome organization
ATAD5	Cluster#1	ENSG00000176208	79915	[C17orf41, ELG1, FRAG1]	non_stop_decay,protein_coding,retained_intron	Initial Gene From Selection	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage | intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
BTRC	Cluster#1	ENSG00000166167	8945	[BETA-TRCP, FBW1A, FBXW1, FBXW1A, FWD1, bTrCP, bTrCP1, betaTrCP]	processed_transcript,protein_coding	Initial Gene From Selection	positive regulation of ubiquitin-protein transferase activity | protein phosphorylated amino acid binding
BUB1	Cluster#1	ENSG00000169679	699	[BUB1A, BUB1L, hBUB1]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	sister chromatid cohesion | chromosome, centromeric region
CCND2	Cluster#1	ENSG00000118971	894	[KIAK0002, MPPH3]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	positive regulation of cyclin-dependent protein serine/threonine kinase activity | regulation of cyclin-dependent protein serine/threonine kinase activity
CCNL1	Cluster#1	ENSG00000163660	57018	[ANIA6A, BM-001, PRO1073, ania-6a]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	regulation of cyclin-dependent protein serine/threonine kinase activity
CDKN2D	Cluster#1	ENSG00000129355	1032	[INK4D, p19, p19-INK4D]	protein_coding	Initial Gene From Selection	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage | protein kinase inhibitor activity
CTBP1	Cluster#1	ENSG00000159692	1487	[BARS, HADDTS]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	positive regulation of histone deacetylation | regulation of protein deacetylation
DCUN1D2	Cluster#1	ENSG00000150401	55208	[C13orf17, DCNL2]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	ubiquitin conjugating enzyme binding | positive regulation of ubiquitin-protein transferase activity
DCUN1D5	Cluster#1	ENSG00000137692	84259	[DCNL5, SCCRO5]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	ubiquitin conjugating enzyme binding | positive regulation of ubiquitin-protein transferase activity
DNMT1	Cluster#1	ENSG00000130816	1786	[ADCADN, AIM, CXXC9, DNMT, HSN1E, MCMT, m.HsaI]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	cellular response to acid chemical | heterochromatin assembly
FLT4	Cluster#1	ENSG00000037280	2324	[CHTD7, FLT-4, FLT41, LMPH1A, LMPHM1, PCL, VEGFR-3, VEGFR3]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	vascular endothelial growth factor signaling pathway | positive regulation of endothelial cell migration
GSKIP	Cluster#1	ENSG00000100744	51527	[C14orf129, HSPC210]	protein_coding,retained_intron	Initial Gene From Selection	protein kinase inhibitor activity
H1-10	Cluster#1	ENSG00000184897	8971	[H1.10, H1FX, H1X]	protein_coding	Initial Gene From Selection	nucleosome assembly | nucleosome
H4C2	Cluster#1	ENSG00000278705	8366	[H4-16, H4/I, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, H4FI, HIST1H4B]	protein_coding	Initial Gene From Selection	CENP-A containing nucleosome | DNA replication-dependent chromatin assembly
H4C3	Cluster#1	ENSG00000197061	8364	[H4-16, H4/g, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C4, H4C5, H4C6, H4C8, H4C9, H4FG, HIST1H4C, TEVANED1, dJ221C16.1]	protein_coding	Initial Gene From Selection	CENP-A containing nucleosome | DNA replication-dependent chromatin assembly
H4C5	Cluster#1	ENSG00000276966	8367	[H4-16, H4/j, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C6, H4C8, H4C9, H4FJ, HIST1H4E]	protein_coding	Initial Gene From Selection	CENP-A containing nucleosome | DNA replication-dependent chromatin assembly
H4C8	Cluster#1	ENSG00000158406	8365	[H4-16, H4/h, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C9, H4FH, HIST1H4H]	nonsense_mediated_decay,protein_coding	Initial Gene From Selection	CENP-A containing nucleosome | DNA replication-dependent chromatin assembly
HDAC9	Cluster#1	ENSG00000048052	9734	[HD7, HD7b, HD9, HDAC, HDAC7, HDAC7B, HDAC9B, HDAC9FL, HDRP, MITR]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	positive regulation of blood vessel endothelial cell migration | regulation of blood vessel endothelial cell migration
HIRA	Cluster#1	ENSG00000100084	7290	[DGCR1, TUP1, TUPLE1]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	DNA replication-independent chromatin assembly | chromatin assembly
HLA-B	Cluster#1	ENSG00000206450	3106	[AS, B-4901, HLAB]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	integral component of lumenal side of endoplasmic reticulum membrane
HLA-C	Cluster#1	ENSG00000204525	3107	[D6S204, HLA-JY3, HLAC, HLC-C, MHC, PSORS1]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	integral component of lumenal side of endoplasmic reticulum membrane
IGF2R	Cluster#1	ENSG00000197081	3482	[CD222, CI-M6PR, CIMPR, M6P-R, M6P/IGF2R, MPR 300, MPR1, MPR300, MPRI]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	phosphoprotein binding
ING2	Cluster#1	ENSG00000168556	3622	[ING1L, p33ING2]	protein_coding	Initial Gene From Selection	positive regulation of histone deacetylation | negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
JUP	Cluster#1	ENSG00000173801	3728	[CTNNG, DP3, DPIII, PDGB, PG, PKGB]	protein_coding,retained_intron	Initial Gene From Selection	regulation of blood vessel endothelial cell migration
